sample_id,domain,ground_truth,p3_score,p3_category,semantic_variance
gen_0033,General Knowledge,0,0.0001,HIGH_CONSISTENCY_TRUE,0.0001
gen_0034,General Knowledge,1,0.0295,CONSISTENT_HALLUCINATION,0.0295
gen_0035,General Knowledge,0,0.069,HIGH_CONSISTENCY_TRUE,0.069
gen_0036,General Knowledge,1,0.3733,INCONSISTENT_HALLUCINATION,0.3733
gen_0037,General Knowledge,0,0.0001,HIGH_CONSISTENCY_TRUE,0.0001
gen_0038,General Knowledge,1,0.0002,CONSISTENT_HALLUCINATION,0.0002
gen_0039,General Knowledge,0,0.0278,HIGH_CONSISTENCY_TRUE,0.0278
gen_0040,General Knowledge,1,0.4707,INCONSISTENT_HALLUCINATION,0.4707
gen_0041,General Knowledge,0,0.0051,HIGH_CONSISTENCY_TRUE,0.0051
gen_0042,General Knowledge,1,0.0353,CONSISTENT_HALLUCINATION,0.0353
gen_0043,General Knowledge,0,0.0537,HIGH_CONSISTENCY_TRUE,0.0537
gen_0044,General Knowledge,1,0.3273,INCONSISTENT_HALLUCINATION,0.3273
gen_0045,General Knowledge,0,0.0151,HIGH_CONSISTENCY_TRUE,0.0151
gen_0046,General Knowledge,1,0.0751,CONSISTENT_HALLUCINATION,0.0751
gen_0047,General Knowledge,0,0.0845,HIGH_CONSISTENCY_TRUE,0.0845
gen_0048,General Knowledge,1,0.2239,INCONSISTENT_HALLUCINATION,0.2239
gen_0049,General Knowledge,0,0.0001,HIGH_CONSISTENCY_TRUE,0.0001
gen_0050,General Knowledge,1,0.0402,CONSISTENT_HALLUCINATION,0.0402
med_0051,Medicine,0,0.0718,HIGH_CONSISTENCY_TRUE,0.0718
med_0052,Medicine,1,0.098,CONSISTENT_HALLUCINATION,0.098
med_0053,Medicine,0,0.0858,HIGH_CONSISTENCY_TRUE,0.0858
med_0054,Medicine,1,0.1682,CONSISTENT_HALLUCINATION,0.1682
med_0055,Medicine,0,0.0729,HIGH_CONSISTENCY_TRUE,0.0729
med_0056,Medicine,1,0.1337,CONSISTENT_HALLUCINATION,0.1337
med_0057,Medicine,0,0.1235,HIGH_CONSISTENCY_TRUE,0.1235
med_0058,Medicine,1,0.0568,CONSISTENT_HALLUCINATION,0.0568
med_0059,Medicine,0,0.1115,HIGH_CONSISTENCY_TRUE,0.1115
med_0060,Medicine,1,0.1085,CONSISTENT_HALLUCINATION,0.1085
med_0061,Medicine,0,0.1438,HIGH_CONSISTENCY_TRUE,0.1438
med_0062,Medicine,1,0.0541,CONSISTENT_HALLUCINATION,0.0541
med_0063,Medicine,0,0.1977,HIGH_CONSISTENCY_TRUE,0.1977
med_0064,Medicine,1,0.0889,CONSISTENT_HALLUCINATION,0.0889
med_0065,Medicine,0,0.1303,HIGH_CONSISTENCY_TRUE,0.1303
med_0066,Medicine,1,0.1928,CONSISTENT_HALLUCINATION,0.1928
med_0067,Medicine,0,0.0696,HIGH_CONSISTENCY_TRUE,0.0696
med_0068,Medicine,1,0.0951,CONSISTENT_HALLUCINATION,0.0951
med_0069,Medicine,0,0.0704,HIGH_CONSISTENCY_TRUE,0.0704
med_0070,Medicine,1,0.1625,CONSISTENT_HALLUCINATION,0.1625
med_0071,Medicine,0,0.3453,INCONSISTENT_TRUE,0.3453
med_0072,Medicine,1,0.226,INCONSISTENT_HALLUCINATION,0.226
med_0073,Medicine,0,0.0974,HIGH_CONSISTENCY_TRUE,0.0974
med_0074,Medicine,1,0.049,CONSISTENT_HALLUCINATION,0.049
med_0075,Medicine,0,0.0844,HIGH_CONSISTENCY_TRUE,0.0844
med_0076,Medicine,1,0.0967,CONSISTENT_HALLUCINATION,0.0967
med_0077,Medicine,0,0.072,HIGH_CONSISTENCY_TRUE,0.072
med_0078,Medicine,1,0.0276,CONSISTENT_HALLUCINATION,0.0276
med_0079,Medicine,0,0.1268,HIGH_CONSISTENCY_TRUE,0.1268
med_0080,Medicine,1,0.0853,CONSISTENT_HALLUCINATION,0.0853
med_0081,Medicine,0,0.0931,HIGH_CONSISTENCY_TRUE,0.0931
med_0082,Medicine,1,0.0678,CONSISTENT_HALLUCINATION,0.0678
med_0083,Medicine,0,0.0992,HIGH_CONSISTENCY_TRUE,0.0992
med_0084,Medicine,1,0.0778,CONSISTENT_HALLUCINATION,0.0778
med_0085,Medicine,0,0.1036,HIGH_CONSISTENCY_TRUE,0.1036
med_0086,Medicine,1,0.0459,CONSISTENT_HALLUCINATION,0.0459
med_0087,Medicine,0,0.1057,HIGH_CONSISTENCY_TRUE,0.1057
med_0088,Medicine,1,0.1145,CONSISTENT_HALLUCINATION,0.1145
med_0089,Medicine,0,0.1674,HIGH_CONSISTENCY_TRUE,0.1674
med_0090,Medicine,1,0.1417,CONSISTENT_HALLUCINATION,0.1417
med_0091,Medicine,0,0.1329,HIGH_CONSISTENCY_TRUE,0.1329
med_0092,Medicine,1,0.3165,INCONSISTENT_HALLUCINATION,0.3165
med_0093,Medicine,0,0.1239,HIGH_CONSISTENCY_TRUE,0.1239
med_0094,Medicine,1,0.3136,INCONSISTENT_HALLUCINATION,0.3136
med_0095,Medicine,0,0.1442,HIGH_CONSISTENCY_TRUE,0.1442
med_0096,Medicine,1,0.0864,CONSISTENT_HALLUCINATION,0.0864
med_0097,Medicine,0,0.1126,HIGH_CONSISTENCY_TRUE,0.1126
med_0098,Medicine,1,0.0404,CONSISTENT_HALLUCINATION,0.0404
med_0099,Medicine,0,0.105,HIGH_CONSISTENCY_TRUE,0.105
med_0100,Medicine,1,0.1128,CONSISTENT_HALLUCINATION,0.1128
law_0101,Law,0,0.0904,HIGH_CONSISTENCY_TRUE,0.0904
law_0102,Law,1,0.1609,CONSISTENT_HALLUCINATION,0.1609
law_0103,Law,0,0.0701,HIGH_CONSISTENCY_TRUE,0.0701
law_0104,Law,1,0.2709,INCONSISTENT_HALLUCINATION,0.2709
law_0105,Law,0,0.1035,HIGH_CONSISTENCY_TRUE,0.1035
law_0106,Law,1,0.2091,INCONSISTENT_HALLUCINATION,0.2091
law_0107,Law,0,0.1822,HIGH_CONSISTENCY_TRUE,0.1822
law_0108,Law,1,0.0556,CONSISTENT_HALLUCINATION,0.0556
law_0109,Law,0,0.212,INCONSISTENT_TRUE,0.212
law_0110,Law,1,0.2789,INCONSISTENT_HALLUCINATION,0.2789
law_0111,Law,0,0.0781,HIGH_CONSISTENCY_TRUE,0.0781
law_0112,Law,1,0.1987,CONSISTENT_HALLUCINATION,0.1987
law_0113,Law,0,0.1945,HIGH_CONSISTENCY_TRUE,0.1945
law_0114,Law,1,0.1741,CONSISTENT_HALLUCINATION,0.1741
law_0115,Law,0,0.1028,HIGH_CONSISTENCY_TRUE,0.1028
law_0116,Law,1,0.1469,CONSISTENT_HALLUCINATION,0.1469
law_0117,Law,0,0.1094,HIGH_CONSISTENCY_TRUE,0.1094
law_0118,Law,1,0.3759,INCONSISTENT_HALLUCINATION,0.3759
law_0119,Law,0,0.0723,HIGH_CONSISTENCY_TRUE,0.0723
law_0120,Law,1,0.0663,CONSISTENT_HALLUCINATION,0.0663
law_0121,Law,0,0.1042,HIGH_CONSISTENCY_TRUE,0.1042
law_0122,Law,1,0.2528,INCONSISTENT_HALLUCINATION,0.2528
law_0123,Law,0,0.0661,HIGH_CONSISTENCY_TRUE,0.0661
law_0124,Law,1,0.0607,CONSISTENT_HALLUCINATION,0.0607
law_0125,Law,0,0.1015,HIGH_CONSISTENCY_TRUE,0.1015
law_0126,Law,1,0.2875,INCONSISTENT_HALLUCINATION,0.2875
law_0127,Law,0,0.187,HIGH_CONSISTENCY_TRUE,0.187
law_0128,Law,1,0.0453,CONSISTENT_HALLUCINATION,0.0453
law_0129,Law,0,0.0683,HIGH_CONSISTENCY_TRUE,0.0683
law_0130,Law,1,0.242,INCONSISTENT_HALLUCINATION,0.242
law_0131,Law,0,0.0954,HIGH_CONSISTENCY_TRUE,0.0954
law_0132,Law,1,0.152,CONSISTENT_HALLUCINATION,0.152
law_0133,Law,0,0.3029,INCONSISTENT_TRUE,0.3029
law_0134,Law,1,0.2572,INCONSISTENT_HALLUCINATION,0.2572
law_0135,Law,0,0.0873,HIGH_CONSISTENCY_TRUE,0.0873
law_0136,Law,1,0.0393,CONSISTENT_HALLUCINATION,0.0393
law_0137,Law,0,0.1746,HIGH_CONSISTENCY_TRUE,0.1746
law_0138,Law,1,0.2425,INCONSISTENT_HALLUCINATION,0.2425
law_0139,Law,0,0.0678,HIGH_CONSISTENCY_TRUE,0.0678
law_0140,Law,1,0.158,CONSISTENT_HALLUCINATION,0.158
law_0141,Law,0,0.1021,HIGH_CONSISTENCY_TRUE,0.1021
law_0142,Law,1,0.4444,INCONSISTENT_HALLUCINATION,0.4444
law_0143,Law,0,0.0637,HIGH_CONSISTENCY_TRUE,0.0637
law_0144,Law,1,0.0586,CONSISTENT_HALLUCINATION,0.0586
law_0145,Law,0,0.0757,HIGH_CONSISTENCY_TRUE,0.0757
law_0146,Law,1,0.1812,CONSISTENT_HALLUCINATION,0.1812
law_0147,Law,0,0.1878,HIGH_CONSISTENCY_TRUE,0.1878
law_0148,Law,1,0.2639,INCONSISTENT_HALLUCINATION,0.2639
law_0149,Law,0,0.1771,HIGH_CONSISTENCY_TRUE,0.1771
law_0150,Law,1,0.2099,INCONSISTENT_HALLUCINATION,0.2099
fin_0151,Finance,0,0.0587,HIGH_CONSISTENCY_TRUE,0.0587
fin_0152,Finance,1,0.1007,CONSISTENT_HALLUCINATION,0.1007
fin_0153,Finance,0,0.0834,HIGH_CONSISTENCY_TRUE,0.0834
fin_0154,Finance,1,0.1749,CONSISTENT_HALLUCINATION,0.1749
fin_0155,Finance,0,0.0515,HIGH_CONSISTENCY_TRUE,0.0515
fin_0156,Finance,1,0.0692,CONSISTENT_HALLUCINATION,0.0692
fin_0157,Finance,0,0.0,HIGH_CONSISTENCY_TRUE,0.0
fin_0158,Finance,1,0.1093,CONSISTENT_HALLUCINATION,0.1093
fin_0159,Finance,0,0.1656,HIGH_CONSISTENCY_TRUE,0.1656
fin_0160,Finance,1,0.3136,INCONSISTENT_HALLUCINATION,0.3136
fin_0161,Finance,0,0.0833,HIGH_CONSISTENCY_TRUE,0.0833
fin_0162,Finance,1,0.1168,CONSISTENT_HALLUCINATION,0.1168
fin_0163,Finance,0,0.0858,HIGH_CONSISTENCY_TRUE,0.0858
fin_0164,Finance,1,0.4391,INCONSISTENT_HALLUCINATION,0.4391
fin_0165,Finance,0,0.0,HIGH_CONSISTENCY_TRUE,0.0
fin_0166,Finance,1,0.1303,CONSISTENT_HALLUCINATION,0.1303
fin_0167,Finance,0,0.1721,HIGH_CONSISTENCY_TRUE,0.1721
fin_0168,Finance,1,0.063,CONSISTENT_HALLUCINATION,0.063
fin_0169,Finance,0,0.0828,HIGH_CONSISTENCY_TRUE,0.0828
fin_0170,Finance,1,0.1224,CONSISTENT_HALLUCINATION,0.1224
fin_0171,Finance,0,0.0791,HIGH_CONSISTENCY_TRUE,0.0791
fin_0172,Finance,1,0.1021,CONSISTENT_HALLUCINATION,0.1021
fin_0173,Finance,0,0.0,HIGH_CONSISTENCY_TRUE,0.0
fin_0174,Finance,1,0.0994,CONSISTENT_HALLUCINATION,0.0994
fin_0175,Finance,0,0.0788,HIGH_CONSISTENCY_TRUE,0.0788
fin_0176,Finance,1,0.3004,INCONSISTENT_HALLUCINATION,0.3004
fin_0177,Finance,0,0.0,HIGH_CONSISTENCY_TRUE,0.0
fin_0178,Finance,1,0.1087,CONSISTENT_HALLUCINATION,0.1087
fin_0179,Finance,0,0.0819,HIGH_CONSISTENCY_TRUE,0.0819
fin_0180,Finance,1,0.3092,INCONSISTENT_HALLUCINATION,0.3092
fin_0181,Finance,0,0.0,HIGH_CONSISTENCY_TRUE,0.0
fin_0182,Finance,1,0.0736,CONSISTENT_HALLUCINATION,0.0736
fin_0183,Finance,0,0.0753,HIGH_CONSISTENCY_TRUE,0.0753
fin_0184,Finance,1,0.0715,CONSISTENT_HALLUCINATION,0.0715
fin_0185,Finance,0,0.042,HIGH_CONSISTENCY_TRUE,0.042
fin_0186,Finance,1,0.0999,CONSISTENT_HALLUCINATION,0.0999
fin_0187,Finance,0,0.0682,HIGH_CONSISTENCY_TRUE,0.0682
fin_0188,Finance,1,0.0923,CONSISTENT_HALLUCINATION,0.0923
fin_0189,Finance,0,0.0683,HIGH_CONSISTENCY_TRUE,0.0683
fin_0190,Finance,1,0.1344,CONSISTENT_HALLUCINATION,0.1344
fin_0191,Finance,0,0.154,HIGH_CONSISTENCY_TRUE,0.154
fin_0192,Finance,1,0.1098,CONSISTENT_HALLUCINATION,0.1098
fin_0193,Finance,0,0.0509,HIGH_CONSISTENCY_TRUE,0.0509
fin_0194,Finance,1,0.0946,CONSISTENT_HALLUCINATION,0.0946
fin_0195,Finance,0,0.1028,HIGH_CONSISTENCY_TRUE,0.1028
fin_0196,Finance,1,0.0532,CONSISTENT_HALLUCINATION,0.0532
fin_0197,Finance,0,0.0592,HIGH_CONSISTENCY_TRUE,0.0592
fin_0198,Finance,1,0.1148,CONSISTENT_HALLUCINATION,0.1148
fin_0199,Finance,0,0.0282,HIGH_CONSISTENCY_TRUE,0.0282
fin_0200,Finance,1,0.0873,CONSISTENT_HALLUCINATION,0.0873
his_0201,History,0,0.0003,HIGH_CONSISTENCY_TRUE,0.0003
his_0202,History,1,0.6486,INCONSISTENT_HALLUCINATION,0.6486
his_0203,History,0,0.2127,INCONSISTENT_TRUE,0.2127
his_0204,History,1,0.0498,CONSISTENT_HALLUCINATION,0.0498
his_0205,History,0,0.411,INCONSISTENT_TRUE,0.411
his_0206,History,1,0.2489,INCONSISTENT_HALLUCINATION,0.2489
his_0207,History,0,0.3937,INCONSISTENT_TRUE,0.3937
his_0208,History,1,0.0363,CONSISTENT_HALLUCINATION,0.0363
his_0209,History,0,0.4561,INCONSISTENT_TRUE,0.4561
his_0210,History,1,0.6069,INCONSISTENT_HALLUCINATION,0.6069
his_0211,History,0,0.3164,INCONSISTENT_TRUE,0.3164
his_0212,History,1,0.0806,CONSISTENT_HALLUCINATION,0.0806
his_0213,History,0,0.0474,HIGH_CONSISTENCY_TRUE,0.0474
his_0214,History,1,0.5903,INCONSISTENT_HALLUCINATION,0.5903
his_0215,History,0,0.1979,HIGH_CONSISTENCY_TRUE,0.1979
his_0216,History,1,0.0652,CONSISTENT_HALLUCINATION,0.0652
his_0217,History,0,0.0003,HIGH_CONSISTENCY_TRUE,0.0003
his_0218,History,1,0.1091,CONSISTENT_HALLUCINATION,0.1091
his_0219,History,0,0.4355,INCONSISTENT_TRUE,0.4355
his_0220,History,1,0.0562,CONSISTENT_HALLUCINATION,0.0562
his_0221,History,0,0.0003,HIGH_CONSISTENCY_TRUE,0.0003
his_0222,History,1,0.1059,CONSISTENT_HALLUCINATION,0.1059
his_0223,History,0,0.504,INCONSISTENT_TRUE,0.504
his_0224,History,1,0.0889,CONSISTENT_HALLUCINATION,0.0889
his_0225,History,0,0.084,HIGH_CONSISTENCY_TRUE,0.084
his_0226,History,1,0.2542,INCONSISTENT_HALLUCINATION,0.2542
his_0227,History,0,0.2817,INCONSISTENT_TRUE,0.2817
his_0228,History,1,0.036,CONSISTENT_HALLUCINATION,0.036
his_0229,History,0,0.0179,HIGH_CONSISTENCY_TRUE,0.0179
his_0230,History,1,0.112,CONSISTENT_HALLUCINATION,0.112
his_0231,History,0,0.4139,INCONSISTENT_TRUE,0.4139
his_0232,History,1,0.0656,CONSISTENT_HALLUCINATION,0.0656
his_0233,History,0,0.0564,HIGH_CONSISTENCY_TRUE,0.0564
his_0234,History,1,0.2061,INCONSISTENT_HALLUCINATION,0.2061
his_0235,History,0,0.0809,HIGH_CONSISTENCY_TRUE,0.0809
his_0236,History,1,0.0336,CONSISTENT_HALLUCINATION,0.0336
his_0237,History,0,0.1928,HIGH_CONSISTENCY_TRUE,0.1928
his_0238,History,1,0.603,INCONSISTENT_HALLUCINATION,0.603
his_0239,History,0,0.0767,HIGH_CONSISTENCY_TRUE,0.0767
his_0240,History,1,0.0511,CONSISTENT_HALLUCINATION,0.0511
his_0241,History,0,0.4122,INCONSISTENT_TRUE,0.4122
his_0242,History,1,0.8325,INCONSISTENT_HALLUCINATION,0.8325
his_0243,History,0,0.0694,HIGH_CONSISTENCY_TRUE,0.0694
his_0244,History,1,0.0878,CONSISTENT_HALLUCINATION,0.0878
his_0245,History,0,0.1329,HIGH_CONSISTENCY_TRUE,0.1329
his_0246,History,1,0.2888,INCONSISTENT_HALLUCINATION,0.2888
his_0247,History,0,0.0802,HIGH_CONSISTENCY_TRUE,0.0802
his_0248,History,1,0.066,CONSISTENT_HALLUCINATION,0.066
his_0249,History,0,0.0834,HIGH_CONSISTENCY_TRUE,0.0834
his_0250,History,1,0.2141,INCONSISTENT_HALLUCINATION,0.2141
sci_0251,Science,0,0.3243,INCONSISTENT_TRUE,0.3243
sci_0252,Science,1,0.1795,CONSISTENT_HALLUCINATION,0.1795
sci_0253,Science,0,0.0697,HIGH_CONSISTENCY_TRUE,0.0697
sci_0254,Science,1,0.0389,CONSISTENT_HALLUCINATION,0.0389
sci_0255,Science,0,0.1952,HIGH_CONSISTENCY_TRUE,0.1952
sci_0256,Science,1,0.422,INCONSISTENT_HALLUCINATION,0.422
sci_0257,Science,0,0.0839,HIGH_CONSISTENCY_TRUE,0.0839
sci_0258,Science,1,0.0429,CONSISTENT_HALLUCINATION,0.0429
sci_0259,Science,0,0.1865,HIGH_CONSISTENCY_TRUE,0.1865
sci_0260,Science,1,0.0388,CONSISTENT_HALLUCINATION,0.0388
sci_0261,Science,0,0.0922,HIGH_CONSISTENCY_TRUE,0.0922
sci_0262,Science,1,0.1307,CONSISTENT_HALLUCINATION,0.1307
sci_0263,Science,0,0.3493,INCONSISTENT_TRUE,0.3493
sci_0264,Science,1,0.4415,INCONSISTENT_HALLUCINATION,0.4415
sci_0265,Science,0,0.0533,HIGH_CONSISTENCY_TRUE,0.0533
sci_0266,Science,1,0.0168,CONSISTENT_HALLUCINATION,0.0168
sci_0267,Science,0,0.0596,HIGH_CONSISTENCY_TRUE,0.0596
sci_0268,Science,1,0.0876,CONSISTENT_HALLUCINATION,0.0876
sci_0269,Science,0,0.0697,HIGH_CONSISTENCY_TRUE,0.0697
sci_0270,Science,1,0.1848,CONSISTENT_HALLUCINATION,0.1848
sci_0271,Science,0,0.2525,INCONSISTENT_TRUE,0.2525
sci_0272,Science,1,0.0786,CONSISTENT_HALLUCINATION,0.0786
sci_0273,Science,0,0.0519,HIGH_CONSISTENCY_TRUE,0.0519
sci_0274,Science,1,0.141,CONSISTENT_HALLUCINATION,0.141
sci_0275,Science,0,0.302,INCONSISTENT_TRUE,0.302
sci_0276,Science,1,0.2776,INCONSISTENT_HALLUCINATION,0.2776
sci_0277,Science,0,0.057,HIGH_CONSISTENCY_TRUE,0.057
sci_0278,Science,1,0.084,CONSISTENT_HALLUCINATION,0.084
sci_0279,Science,0,0.1616,HIGH_CONSISTENCY_TRUE,0.1616
sci_0280,Science,1,0.4742,INCONSISTENT_HALLUCINATION,0.4742
sci_0281,Science,0,0.0402,HIGH_CONSISTENCY_TRUE,0.0402
sci_0282,Science,1,0.0037,CONSISTENT_HALLUCINATION,0.0037
sci_0283,Science,0,0.1856,HIGH_CONSISTENCY_TRUE,0.1856
sci_0284,Science,1,0.086,CONSISTENT_HALLUCINATION,0.086
sci_0285,Science,0,0.0698,HIGH_CONSISTENCY_TRUE,0.0698
sci_0286,Science,1,0.0038,CONSISTENT_HALLUCINATION,0.0038
sci_0287,Science,0,0.3093,INCONSISTENT_TRUE,0.3093
sci_0288,Science,1,0.0874,CONSISTENT_HALLUCINATION,0.0874
sci_0289,Science,0,0.0539,HIGH_CONSISTENCY_TRUE,0.0539
sci_0290,Science,1,0.0486,CONSISTENT_HALLUCINATION,0.0486
sci_0291,Science,0,0.0412,HIGH_CONSISTENCY_TRUE,0.0412
sci_0292,Science,1,0.2149,INCONSISTENT_HALLUCINATION,0.2149
sci_0293,Science,0,0.0561,HIGH_CONSISTENCY_TRUE,0.0561
sci_0294,Science,1,0.0022,CONSISTENT_HALLUCINATION,0.0022
sci_0295,Science,0,0.3159,INCONSISTENT_TRUE,0.3159
sci_0296,Science,1,0.1734,CONSISTENT_HALLUCINATION,0.1734
sci_0297,Science,0,0.0636,HIGH_CONSISTENCY_TRUE,0.0636
sci_0298,Science,1,0.0067,CONSISTENT_HALLUCINATION,0.0067
sci_0299,Science,0,0.3405,INCONSISTENT_TRUE,0.3405
sci_0300,Science,1,0.3009,INCONSISTENT_HALLUCINATION,0.3009
com_0301,Computer Science,0,0.0906,HIGH_CONSISTENCY_TRUE,0.0906
com_0302,Computer Science,1,0.0,CONSISTENT_HALLUCINATION,0.0
com_0303,Computer Science,0,0.0999,HIGH_CONSISTENCY_TRUE,0.0999
com_0304,Computer Science,1,0.2053,INCONSISTENT_HALLUCINATION,0.2053
com_0305,Computer Science,0,0.1505,HIGH_CONSISTENCY_TRUE,0.1505
com_0306,Computer Science,1,0.0,CONSISTENT_HALLUCINATION,0.0
com_0307,Computer Science,0,0.081,HIGH_CONSISTENCY_TRUE,0.081
com_0308,Computer Science,1,0.1148,CONSISTENT_HALLUCINATION,0.1148
com_0309,Computer Science,0,0.1647,HIGH_CONSISTENCY_TRUE,0.1647
com_0310,Computer Science,1,0.0,CONSISTENT_HALLUCINATION,0.0
com_0311,Computer Science,0,0.1133,HIGH_CONSISTENCY_TRUE,0.1133
com_0312,Computer Science,1,0.3537,INCONSISTENT_HALLUCINATION,0.3537
com_0313,Computer Science,0,0.1968,HIGH_CONSISTENCY_TRUE,0.1968
com_0314,Computer Science,1,0.0,CONSISTENT_HALLUCINATION,0.0
com_0315,Computer Science,0,0.1344,HIGH_CONSISTENCY_TRUE,0.1344
com_0316,Computer Science,1,0.188,CONSISTENT_HALLUCINATION,0.188
com_0317,Computer Science,0,0.0966,HIGH_CONSISTENCY_TRUE,0.0966
com_0318,Computer Science,1,0.1514,CONSISTENT_HALLUCINATION,0.1514
com_0319,Computer Science,0,0.1498,HIGH_CONSISTENCY_TRUE,0.1498
com_0320,Computer Science,1,0.452,INCONSISTENT_HALLUCINATION,0.452
com_0321,Computer Science,0,0.1273,HIGH_CONSISTENCY_TRUE,0.1273
com_0322,Computer Science,1,0.0,CONSISTENT_HALLUCINATION,0.0
com_0323,Computer Science,0,0.1381,HIGH_CONSISTENCY_TRUE,0.1381
com_0324,Computer Science,1,0.2689,INCONSISTENT_HALLUCINATION,0.2689
com_0325,Computer Science,0,0.1228,HIGH_CONSISTENCY_TRUE,0.1228
com_0326,Computer Science,1,0.1457,CONSISTENT_HALLUCINATION,0.1457
com_0327,Computer Science,0,0.273,INCONSISTENT_TRUE,0.273
com_0328,Computer Science,1,0.4498,INCONSISTENT_HALLUCINATION,0.4498
com_0329,Computer Science,0,0.0711,HIGH_CONSISTENCY_TRUE,0.0711
com_0330,Computer Science,1,0.0654,CONSISTENT_HALLUCINATION,0.0654
com_0331,Computer Science,0,0.0979,HIGH_CONSISTENCY_TRUE,0.0979
com_0332,Computer Science,1,0.4069,INCONSISTENT_HALLUCINATION,0.4069
com_0333,Computer Science,0,0.1102,HIGH_CONSISTENCY_TRUE,0.1102
com_0334,Computer Science,1,0.0,CONSISTENT_HALLUCINATION,0.0
com_0335,Computer Science,0,0.0724,HIGH_CONSISTENCY_TRUE,0.0724
com_0336,Computer Science,1,0.3923,INCONSISTENT_HALLUCINATION,0.3923
com_0337,Computer Science,0,0.0374,HIGH_CONSISTENCY_TRUE,0.0374
com_0338,Computer Science,1,0.0,CONSISTENT_HALLUCINATION,0.0
com_0339,Computer Science,0,0.1118,HIGH_CONSISTENCY_TRUE,0.1118
com_0340,Computer Science,1,0.4507,INCONSISTENT_HALLUCINATION,0.4507
com_0341,Computer Science,0,0.0858,HIGH_CONSISTENCY_TRUE,0.0858
com_0342,Computer Science,1,0.2724,INCONSISTENT_HALLUCINATION,0.2724
com_0343,Computer Science,0,0.0568,HIGH_CONSISTENCY_TRUE,0.0568
com_0344,Computer Science,1,0.196,CONSISTENT_HALLUCINATION,0.196
com_0345,Computer Science,0,0.1689,HIGH_CONSISTENCY_TRUE,0.1689
com_0346,Computer Science,1,0.2596,INCONSISTENT_HALLUCINATION,0.2596
com_0347,Computer Science,0,0.0,HIGH_CONSISTENCY_TRUE,0.0
com_0348,Computer Science,1,0.2224,INCONSISTENT_HALLUCINATION,0.2224
com_0349,Computer Science,0,0.0818,HIGH_CONSISTENCY_TRUE,0.0818
com_0350,Computer Science,1,0.0,CONSISTENT_HALLUCINATION,0.0
phy_0351,Physics,0,0.1091,HIGH_CONSISTENCY_TRUE,0.1091
phy_0352,Physics,1,0.0931,CONSISTENT_HALLUCINATION,0.0931
phy_0353,Physics,0,0.142,HIGH_CONSISTENCY_TRUE,0.142
phy_0354,Physics,1,0.1063,CONSISTENT_HALLUCINATION,0.1063
