sample_id,domain,ground_truth,phase6_evidence_overlap,phase7_evidence_overlap,phase6_leakage_classification,evidence_source
gen_0027,General Knowledge,0,1.0,0.4545,HIGH,Wikipedia / Synthetic Reference Corpora
gen_0028,General Knowledge,1,1.0,0.2105,MODERATE,Wikipedia / Synthetic Reference Corpora
gen_0029,General Knowledge,0,1.0,0.6667,HIGH,Wikipedia / Synthetic Reference Corpora
gen_0030,General Knowledge,1,1.0,0.75,MODERATE,Wikipedia / Synthetic Reference Corpora
gen_0031,General Knowledge,0,1.0,0.3478,HIGH,Wikipedia / Synthetic Reference Corpora
gen_0032,General Knowledge,1,1.0,0.2105,MODERATE,Wikipedia / Synthetic Reference Corpora
gen_0033,General Knowledge,0,1.0,0.6667,HIGH,Wikipedia / Synthetic Reference Corpora
gen_0034,General Knowledge,1,1.0,0.75,MODERATE,Wikipedia / Synthetic Reference Corpora
gen_0035,General Knowledge,0,1.0,0.32,HIGH,Wikipedia / Synthetic Reference Corpora
gen_0036,General Knowledge,1,1.0,0.1212,MODERATE,Wikipedia / Synthetic Reference Corpora
gen_0037,General Knowledge,0,1.0,0.6667,HIGH,Wikipedia / Synthetic Reference Corpora
gen_0038,General Knowledge,1,1.0,0.75,MODERATE,Wikipedia / Synthetic Reference Corpora
gen_0039,General Knowledge,0,1.0,0.28,HIGH,Wikipedia / Synthetic Reference Corpora
gen_0040,General Knowledge,1,1.0,0.2222,MODERATE,Wikipedia / Synthetic Reference Corpora
gen_0041,General Knowledge,0,1.0,0.6667,HIGH,Wikipedia / Synthetic Reference Corpora
gen_0042,General Knowledge,1,1.0,0.75,MODERATE,Wikipedia / Synthetic Reference Corpora
gen_0043,General Knowledge,0,1.0,0.4444,HIGH,Wikipedia / Synthetic Reference Corpora
gen_0044,General Knowledge,1,1.0,0.119,MODERATE,Wikipedia / Synthetic Reference Corpora
gen_0045,General Knowledge,0,1.0,0.5714,HIGH,Wikipedia / Synthetic Reference Corpora
gen_0046,General Knowledge,1,1.0,0.3158,MODERATE,Wikipedia / Synthetic Reference Corpora
gen_0047,General Knowledge,0,1.0,0.5294,HIGH,Wikipedia / Synthetic Reference Corpora
gen_0048,General Knowledge,1,1.0,0.1905,MODERATE,Wikipedia / Synthetic Reference Corpora
gen_0049,General Knowledge,0,1.0,0.6667,HIGH,Wikipedia / Synthetic Reference Corpora
gen_0050,General Knowledge,1,1.0,0.75,MODERATE,Wikipedia / Synthetic Reference Corpora
med_0051,Medicine,0,1.0,0.0851,HIGH,Wikipedia / Synthetic Reference Corpora
med_0052,Medicine,1,1.0,0.0292,MODERATE,Wikipedia / Synthetic Reference Corpora
med_0053,Medicine,0,1.0,0.0465,HIGH,Wikipedia / Synthetic Reference Corpora
med_0054,Medicine,1,1.0,0.0471,MODERATE,Wikipedia / Synthetic Reference Corpora
med_0055,Medicine,0,1.0,0.0702,HIGH,Wikipedia / Synthetic Reference Corpora
med_0056,Medicine,1,1.0,0.0612,MODERATE,Wikipedia / Synthetic Reference Corpora
med_0057,Medicine,0,1.0,0.0505,HIGH,Wikipedia / Synthetic Reference Corpora
med_0058,Medicine,1,1.0,0.0494,MODERATE,Wikipedia / Synthetic Reference Corpora
med_0059,Medicine,0,1.0,0.0312,HIGH,Wikipedia / Synthetic Reference Corpora
med_0060,Medicine,1,1.0,0.0337,MODERATE,Wikipedia / Synthetic Reference Corpora
med_0061,Medicine,0,1.0,0.1087,HIGH,Wikipedia / Synthetic Reference Corpora
med_0062,Medicine,1,1.0,0.0303,MODERATE,Wikipedia / Synthetic Reference Corpora
med_0063,Medicine,0,1.0,0.1111,HIGH,Wikipedia / Synthetic Reference Corpora
med_0064,Medicine,1,1.0,0.0185,MODERATE,Wikipedia / Synthetic Reference Corpora
med_0065,Medicine,0,1.0,0.1538,HIGH,Wikipedia / Synthetic Reference Corpora
med_0066,Medicine,1,1.0,0.0588,MODERATE,Wikipedia / Synthetic Reference Corpora
med_0067,Medicine,0,1.0,0.04,HIGH,Wikipedia / Synthetic Reference Corpora
med_0068,Medicine,1,1.0,0.0328,MODERATE,Wikipedia / Synthetic Reference Corpora
med_0069,Medicine,0,1.0,0.2222,HIGH,Wikipedia / Synthetic Reference Corpora
med_0070,Medicine,1,1.0,0.0519,MODERATE,Wikipedia / Synthetic Reference Corpora
med_0071,Medicine,0,1.0,0.0357,HIGH,Wikipedia / Synthetic Reference Corpora
med_0072,Medicine,1,1.0,0.0638,MODERATE,Wikipedia / Synthetic Reference Corpora
med_0073,Medicine,0,1.0,0.0704,HIGH,Wikipedia / Synthetic Reference Corpora
med_0074,Medicine,1,1.0,0.0909,MODERATE,Wikipedia / Synthetic Reference Corpora
med_0075,Medicine,0,1.0,0.0532,HIGH,Wikipedia / Synthetic Reference Corpora
med_0076,Medicine,1,1.0,0.0183,MODERATE,Wikipedia / Synthetic Reference Corpora
med_0077,Medicine,0,1.0,0.0779,HIGH,Wikipedia / Synthetic Reference Corpora
med_0078,Medicine,1,1.0,0.0652,MODERATE,Wikipedia / Synthetic Reference Corpora
med_0079,Medicine,0,1.0,0.05,HIGH,Wikipedia / Synthetic Reference Corpora
med_0080,Medicine,1,1.0,0.0117,MODERATE,Wikipedia / Synthetic Reference Corpora
med_0081,Medicine,0,1.0,0.0368,HIGH,Wikipedia / Synthetic Reference Corpora
med_0082,Medicine,1,1.0,0.08,MODERATE,Wikipedia / Synthetic Reference Corpora
med_0083,Medicine,0,1.0,0.0833,HIGH,Wikipedia / Synthetic Reference Corpora
med_0084,Medicine,1,1.0,0.0261,MODERATE,Wikipedia / Synthetic Reference Corpora
med_0085,Medicine,0,1.0,0.0556,HIGH,Wikipedia / Synthetic Reference Corpora
med_0086,Medicine,1,1.0,0.2308,MODERATE,Wikipedia / Synthetic Reference Corpora
med_0087,Medicine,0,1.0,0.0667,HIGH,Wikipedia / Synthetic Reference Corpora
med_0088,Medicine,1,1.0,0.0161,MODERATE,Wikipedia / Synthetic Reference Corpora
med_0089,Medicine,0,1.0,0.0577,HIGH,Wikipedia / Synthetic Reference Corpora
med_0090,Medicine,1,1.0,0.087,MODERATE,Wikipedia / Synthetic Reference Corpora
med_0091,Medicine,0,1.0,0.1111,HIGH,Wikipedia / Synthetic Reference Corpora
med_0092,Medicine,1,1.0,0.0265,MODERATE,Wikipedia / Synthetic Reference Corpora
med_0093,Medicine,0,1.0,0.0645,HIGH,Wikipedia / Synthetic Reference Corpora
med_0094,Medicine,1,1.0,0.0526,MODERATE,Wikipedia / Synthetic Reference Corpora
med_0095,Medicine,0,1.0,0.0612,HIGH,Wikipedia / Synthetic Reference Corpora
med_0096,Medicine,1,1.0,0.0149,MODERATE,Wikipedia / Synthetic Reference Corpora
med_0097,Medicine,0,1.0,0.0407,HIGH,Wikipedia / Synthetic Reference Corpora
med_0098,Medicine,1,1.0,0.0889,MODERATE,Wikipedia / Synthetic Reference Corpora
med_0099,Medicine,0,1.0,0.122,HIGH,Wikipedia / Synthetic Reference Corpora
med_0100,Medicine,1,1.0,0.0173,MODERATE,Wikipedia / Synthetic Reference Corpora
law_0101,Law,0,1.0,0.0989,HIGH,Wikipedia / Synthetic Reference Corpora
law_0102,Law,1,1.0,0.3,MODERATE,Wikipedia / Synthetic Reference Corpora
law_0103,Law,0,1.0,0.0806,HIGH,Wikipedia / Synthetic Reference Corpora
law_0104,Law,1,1.0,0.058,MODERATE,Wikipedia / Synthetic Reference Corpora
law_0105,Law,0,1.0,0.068,HIGH,Wikipedia / Synthetic Reference Corpora
law_0106,Law,1,1.0,0.0926,MODERATE,Wikipedia / Synthetic Reference Corpora
law_0107,Law,0,1.0,0.0391,HIGH,Wikipedia / Synthetic Reference Corpora
law_0108,Law,1,1.0,0.0367,MODERATE,Wikipedia / Synthetic Reference Corpora
law_0109,Law,0,1.0,0.06,HIGH,Wikipedia / Synthetic Reference Corpora
law_0110,Law,1,1.0,0.1111,MODERATE,Wikipedia / Synthetic Reference Corpora
law_0111,Law,0,1.0,0.0351,HIGH,Wikipedia / Synthetic Reference Corpora
law_0112,Law,1,1.0,0.0755,MODERATE,Wikipedia / Synthetic Reference Corpora
law_0113,Law,0,1.0,0.0603,HIGH,Wikipedia / Synthetic Reference Corpora
law_0114,Law,1,1.0,0.0482,MODERATE,Wikipedia / Synthetic Reference Corpora
law_0115,Law,0,1.0,0.058,HIGH,Wikipedia / Synthetic Reference Corpora
law_0116,Law,1,1.0,0.0517,MODERATE,Wikipedia / Synthetic Reference Corpora
law_0117,Law,0,1.0,0.125,HIGH,Wikipedia / Synthetic Reference Corpora
law_0118,Law,1,1.0,0.06,MODERATE,Wikipedia / Synthetic Reference Corpora
law_0119,Law,0,1.0,0.0741,HIGH,Wikipedia / Synthetic Reference Corpora
law_0120,Law,1,1.0,0.0357,MODERATE,Wikipedia / Synthetic Reference Corpora
law_0121,Law,0,1.0,0.1311,HIGH,Wikipedia / Synthetic Reference Corpora
law_0122,Law,1,1.0,0.05,MODERATE,Wikipedia / Synthetic Reference Corpora
law_0123,Law,0,1.0,0.0575,HIGH,Wikipedia / Synthetic Reference Corpora
law_0124,Law,1,1.0,0.0429,MODERATE,Wikipedia / Synthetic Reference Corpora
law_0125,Law,0,1.0,0.0808,HIGH,Wikipedia / Synthetic Reference Corpora
law_0126,Law,1,1.0,0.0469,MODERATE,Wikipedia / Synthetic Reference Corpora
law_0127,Law,0,1.0,0.0632,HIGH,Wikipedia / Synthetic Reference Corpora
law_0128,Law,1,1.0,0.0698,MODERATE,Wikipedia / Synthetic Reference Corpora
law_0129,Law,0,1.0,0.0559,HIGH,Wikipedia / Synthetic Reference Corpora
law_0130,Law,1,1.0,0.0909,MODERATE,Wikipedia / Synthetic Reference Corpora
law_0131,Law,0,1.0,0.06,HIGH,Wikipedia / Synthetic Reference Corpora
law_0132,Law,1,1.0,0.0588,MODERATE,Wikipedia / Synthetic Reference Corpora
law_0133,Law,0,1.0,0.0921,HIGH,Wikipedia / Synthetic Reference Corpora
law_0134,Law,1,1.0,0.0682,MODERATE,Wikipedia / Synthetic Reference Corpora
law_0135,Law,0,1.0,0.0654,HIGH,Wikipedia / Synthetic Reference Corpora
law_0136,Law,1,1.0,0.0357,MODERATE,Wikipedia / Synthetic Reference Corpora
law_0137,Law,0,1.0,0.092,HIGH,Wikipedia / Synthetic Reference Corpora
law_0138,Law,1,1.0,0.0446,MODERATE,Wikipedia / Synthetic Reference Corpora
law_0139,Law,0,1.0,0.0549,HIGH,Wikipedia / Synthetic Reference Corpora
law_0140,Law,1,1.0,0.1212,MODERATE,Wikipedia / Synthetic Reference Corpora
law_0141,Law,0,1.0,0.1458,HIGH,Wikipedia / Synthetic Reference Corpora
law_0142,Law,1,1.0,0.0882,MODERATE,Wikipedia / Synthetic Reference Corpora
law_0143,Law,0,1.0,0.0571,HIGH,Wikipedia / Synthetic Reference Corpora
law_0144,Law,1,1.0,0.0421,MODERATE,Wikipedia / Synthetic Reference Corpora
law_0145,Law,0,1.0,0.0534,HIGH,Wikipedia / Synthetic Reference Corpora
law_0146,Law,1,1.0,0.0364,MODERATE,Wikipedia / Synthetic Reference Corpora
law_0147,Law,0,1.0,0.0417,HIGH,Wikipedia / Synthetic Reference Corpora
law_0148,Law,1,1.0,0.08,MODERATE,Wikipedia / Synthetic Reference Corpora
law_0149,Law,0,1.0,0.1458,HIGH,Wikipedia / Synthetic Reference Corpora
law_0150,Law,1,1.0,0.0606,MODERATE,Wikipedia / Synthetic Reference Corpora
fin_0151,Finance,0,1.0,0.0984,HIGH,Wikipedia / Synthetic Reference Corpora
fin_0152,Finance,1,1.0,0.0161,MODERATE,Wikipedia / Synthetic Reference Corpora
fin_0153,Finance,0,1.0,0.012,HIGH,Wikipedia / Synthetic Reference Corpora
fin_0154,Finance,1,1.0,0.0199,MODERATE,Wikipedia / Synthetic Reference Corpora
fin_0155,Finance,0,1.0,0.08,HIGH,Wikipedia / Synthetic Reference Corpora
fin_0156,Finance,1,1.0,0.0556,MODERATE,Wikipedia / Synthetic Reference Corpora
fin_0157,Finance,0,1.0,0.0107,HIGH,Wikipedia / Synthetic Reference Corpora
fin_0158,Finance,1,1.0,0.0126,MODERATE,Wikipedia / Synthetic Reference Corpora
fin_0159,Finance,0,1.0,0.0851,HIGH,Wikipedia / Synthetic Reference Corpora
fin_0160,Finance,1,1.0,0.075,MODERATE,Wikipedia / Synthetic Reference Corpora
fin_0161,Finance,0,1.0,0.0169,HIGH,Wikipedia / Synthetic Reference Corpora
fin_0162,Finance,1,1.0,0.0254,MODERATE,Wikipedia / Synthetic Reference Corpora
fin_0163,Finance,0,1.0,0.0638,HIGH,Wikipedia / Synthetic Reference Corpora
fin_0164,Finance,1,1.0,0.0206,MODERATE,Wikipedia / Synthetic Reference Corpora
fin_0165,Finance,0,1.0,0.0132,HIGH,Wikipedia / Synthetic Reference Corpora
fin_0166,Finance,1,1.0,0.009,MODERATE,Wikipedia / Synthetic Reference Corpora
fin_0167,Finance,0,1.0,0.0746,HIGH,Wikipedia / Synthetic Reference Corpora
fin_0168,Finance,1,1.0,0.024,MODERATE,Wikipedia / Synthetic Reference Corpora
fin_0169,Finance,0,1.0,0.0103,HIGH,Wikipedia / Synthetic Reference Corpora
fin_0170,Finance,1,1.0,0.058,MODERATE,Wikipedia / Synthetic Reference Corpora
fin_0171,Finance,0,1.0,0.0325,HIGH,Wikipedia / Synthetic Reference Corpora
fin_0172,Finance,1,1.0,0.027,MODERATE,Wikipedia / Synthetic Reference Corpora
fin_0173,Finance,0,1.0,0.0205,HIGH,Wikipedia / Synthetic Reference Corpora
fin_0174,Finance,1,1.0,0.0455,MODERATE,Wikipedia / Synthetic Reference Corpora
fin_0175,Finance,0,1.0,0.0315,HIGH,Wikipedia / Synthetic Reference Corpora
fin_0176,Finance,1,1.0,0.0784,MODERATE,Wikipedia / Synthetic Reference Corpora
fin_0177,Finance,0,1.0,0.0168,HIGH,Wikipedia / Synthetic Reference Corpora
fin_0178,Finance,1,1.0,0.1,MODERATE,Wikipedia / Synthetic Reference Corpora
fin_0179,Finance,0,1.0,0.098,HIGH,Wikipedia / Synthetic Reference Corpora
fin_0180,Finance,1,1.0,0.0364,MODERATE,Wikipedia / Synthetic Reference Corpora
fin_0181,Finance,0,1.0,0.0162,HIGH,Wikipedia / Synthetic Reference Corpora
fin_0182,Finance,1,1.0,0.0266,MODERATE,Wikipedia / Synthetic Reference Corpora
fin_0183,Finance,0,1.0,0.0748,HIGH,Wikipedia / Synthetic Reference Corpora
fin_0184,Finance,1,1.0,0.0305,MODERATE,Wikipedia / Synthetic Reference Corpora
fin_0185,Finance,0,1.0,0.0238,HIGH,Wikipedia / Synthetic Reference Corpora
fin_0186,Finance,1,1.0,0.0179,MODERATE,Wikipedia / Synthetic Reference Corpora
fin_0187,Finance,0,1.0,0.0816,HIGH,Wikipedia / Synthetic Reference Corpora
fin_0188,Finance,1,1.0,0.0319,MODERATE,Wikipedia / Synthetic Reference Corpora
fin_0189,Finance,0,1.0,0.0217,HIGH,Wikipedia / Synthetic Reference Corpora
fin_0190,Finance,1,1.0,0.0143,MODERATE,Wikipedia / Synthetic Reference Corpora
fin_0191,Finance,0,1.0,0.0364,HIGH,Wikipedia / Synthetic Reference Corpora
fin_0192,Finance,1,1.0,0.0206,MODERATE,Wikipedia / Synthetic Reference Corpora
fin_0193,Finance,0,1.0,0.0101,HIGH,Wikipedia / Synthetic Reference Corpora
fin_0194,Finance,1,1.0,0.0097,MODERATE,Wikipedia / Synthetic Reference Corpora
fin_0195,Finance,0,1.0,0.0926,HIGH,Wikipedia / Synthetic Reference Corpora
fin_0196,Finance,1,1.0,0.036,MODERATE,Wikipedia / Synthetic Reference Corpora
fin_0197,Finance,0,1.0,0.014,HIGH,Wikipedia / Synthetic Reference Corpora
fin_0198,Finance,1,1.0,0.0789,MODERATE,Wikipedia / Synthetic Reference Corpora
fin_0199,Finance,0,1.0,0.0714,HIGH,Wikipedia / Synthetic Reference Corpora
fin_0200,Finance,1,1.0,0.0938,MODERATE,Wikipedia / Synthetic Reference Corpora
his_0201,History,0,1.0,0.625,HIGH,Wikipedia / Synthetic Reference Corpora
his_0202,History,1,1.0,0.0,MODERATE,Wikipedia / Synthetic Reference Corpora
his_0203,History,0,1.0,0.4,HIGH,Wikipedia / Synthetic Reference Corpora
his_0204,History,1,1.0,0.5714,MODERATE,Wikipedia / Synthetic Reference Corpora
his_0205,History,0,1.0,0.3571,HIGH,Wikipedia / Synthetic Reference Corpora
his_0206,History,1,1.0,0.0875,MODERATE,Wikipedia / Synthetic Reference Corpora
his_0207,History,0,1.0,0.4,HIGH,Wikipedia / Synthetic Reference Corpora
his_0208,History,1,1.0,0.2143,MODERATE,Wikipedia / Synthetic Reference Corpora
his_0209,History,0,1.0,0.1852,HIGH,Wikipedia / Synthetic Reference Corpora
his_0210,History,1,1.0,0.0,MODERATE,Wikipedia / Synthetic Reference Corpora
his_0211,History,0,1.0,0.2,HIGH,Wikipedia / Synthetic Reference Corpora
his_0212,History,1,1.0,0.4444,MODERATE,Wikipedia / Synthetic Reference Corpora
his_0213,History,0,1.0,0.625,HIGH,Wikipedia / Synthetic Reference Corpora
his_0214,History,1,1.0,0.0,MODERATE,Wikipedia / Synthetic Reference Corpora
his_0215,History,0,1.0,0.2069,HIGH,Wikipedia / Synthetic Reference Corpora
his_0216,History,1,1.0,0.375,MODERATE,Wikipedia / Synthetic Reference Corpora
his_0217,History,0,1.0,0.625,HIGH,Wikipedia / Synthetic Reference Corpora
his_0218,History,1,1.0,0.1522,MODERATE,Wikipedia / Synthetic Reference Corpora
his_0219,History,0,1.0,0.6667,HIGH,Wikipedia / Synthetic Reference Corpora
his_0220,History,1,1.0,0.2,MODERATE,Wikipedia / Synthetic Reference Corpora
his_0221,History,0,1.0,0.625,HIGH,Wikipedia / Synthetic Reference Corpora
his_0222,History,1,1.0,0.1622,MODERATE,Wikipedia / Synthetic Reference Corpora
his_0223,History,0,1.0,0.5455,HIGH,Wikipedia / Synthetic Reference Corpora
his_0224,History,1,1.0,0.2174,MODERATE,Wikipedia / Synthetic Reference Corpora
his_0225,History,0,1.0,0.125,HIGH,Wikipedia / Synthetic Reference Corpora
his_0226,History,1,1.0,0.1935,MODERATE,Wikipedia / Synthetic Reference Corpora
his_0227,History,0,1.0,0.4615,HIGH,Wikipedia / Synthetic Reference Corpora
his_0228,History,1,1.0,0.5714,MODERATE,Wikipedia / Synthetic Reference Corpora
his_0229,History,0,1.0,0.5,HIGH,Wikipedia / Synthetic Reference Corpora
his_0230,History,1,1.0,0.0814,MODERATE,Wikipedia / Synthetic Reference Corpora
his_0231,History,0,1.0,0.2,HIGH,Wikipedia / Synthetic Reference Corpora
his_0232,History,1,1.0,0.5,MODERATE,Wikipedia / Synthetic Reference Corpora
his_0233,History,0,1.0,0.625,HIGH,Wikipedia / Synthetic Reference Corpora
his_0234,History,1,1.0,0.1892,MODERATE,Wikipedia / Synthetic Reference Corpora
his_0235,History,0,1.0,0.6,HIGH,Wikipedia / Synthetic Reference Corpora
his_0236,History,1,1.0,0.5714,MODERATE,Wikipedia / Synthetic Reference Corpora
his_0237,History,0,1.0,0.122,HIGH,Wikipedia / Synthetic Reference Corpora
his_0238,History,1,1.0,0.0,MODERATE,Wikipedia / Synthetic Reference Corpora
his_0239,History,0,1.0,1.0,HIGH,Wikipedia / Synthetic Reference Corpora
his_0240,History,1,1.0,0.3077,MODERATE,Wikipedia / Synthetic Reference Corpora
his_0241,History,0,1.0,0.625,HIGH,Wikipedia / Synthetic Reference Corpora
his_0242,History,1,1.0,0.2424,MODERATE,Wikipedia / Synthetic Reference Corpora
his_0243,History,0,1.0,0.75,HIGH,Wikipedia / Synthetic Reference Corpora
his_0244,History,1,1.0,0.1111,MODERATE,Wikipedia / Synthetic Reference Corpora
his_0245,History,0,1.0,0.3125,HIGH,Wikipedia / Synthetic Reference Corpora
his_0246,History,1,1.0,0.1228,MODERATE,Wikipedia / Synthetic Reference Corpora
his_0247,History,0,1.0,0.1538,HIGH,Wikipedia / Synthetic Reference Corpora
his_0248,History,1,1.0,0.119,MODERATE,Wikipedia / Synthetic Reference Corpora
his_0249,History,0,1.0,0.25,HIGH,Wikipedia / Synthetic Reference Corpora
his_0250,History,1,1.0,0.1579,MODERATE,Wikipedia / Synthetic Reference Corpora
sci_0251,Science,0,1.0,0.2121,HIGH,Wikipedia / Synthetic Reference Corpora
sci_0252,Science,1,1.0,0.1429,MODERATE,Wikipedia / Synthetic Reference Corpora
sci_0253,Science,0,1.0,0.0638,HIGH,Wikipedia / Synthetic Reference Corpora
sci_0254,Science,1,1.0,0.4,MODERATE,Wikipedia / Synthetic Reference Corpora
sci_0255,Science,0,1.0,0.3913,HIGH,Wikipedia / Synthetic Reference Corpora
sci_0256,Science,1,1.0,0.075,MODERATE,Wikipedia / Synthetic Reference Corpora
sci_0257,Science,0,1.0,0.0233,HIGH,Wikipedia / Synthetic Reference Corpora
sci_0258,Science,1,1.0,0.75,MODERATE,Wikipedia / Synthetic Reference Corpora
sci_0259,Science,0,1.0,0.1471,HIGH,Wikipedia / Synthetic Reference Corpora
sci_0260,Science,1,1.0,0.1,MODERATE,Wikipedia / Synthetic Reference Corpora
sci_0261,Science,0,1.0,0.102,HIGH,Wikipedia / Synthetic Reference Corpora
sci_0262,Science,1,1.0,0.0,MODERATE,Wikipedia / Synthetic Reference Corpora
sci_0263,Science,0,1.0,0.1351,HIGH,Wikipedia / Synthetic Reference Corpora
sci_0264,Science,1,1.0,0.0816,MODERATE,Wikipedia / Synthetic Reference Corpora
sci_0265,Science,0,1.0,0.04,HIGH,Wikipedia / Synthetic Reference Corpora
sci_0266,Science,1,1.0,0.6,MODERATE,Wikipedia / Synthetic Reference Corpora
sci_0267,Science,0,1.0,0.1163,HIGH,Wikipedia / Synthetic Reference Corpora
sci_0268,Science,1,1.0,0.1026,MODERATE,Wikipedia / Synthetic Reference Corpora
sci_0269,Science,0,1.0,0.0625,HIGH,Wikipedia / Synthetic Reference Corpora
sci_0270,Science,1,1.0,0.1,MODERATE,Wikipedia / Synthetic Reference Corpora
sci_0271,Science,0,1.0,0.1395,HIGH,Wikipedia / Synthetic Reference Corpora
sci_0272,Science,1,1.0,0.1091,MODERATE,Wikipedia / Synthetic Reference Corpora
sci_0273,Science,0,1.0,0.0375,HIGH,Wikipedia / Synthetic Reference Corpora
sci_0274,Science,1,1.0,0.3333,MODERATE,Wikipedia / Synthetic Reference Corpora
sci_0275,Science,0,1.0,0.1429,HIGH,Wikipedia / Synthetic Reference Corpora
sci_0276,Science,1,1.0,0.0526,MODERATE,Wikipedia / Synthetic Reference Corpora
sci_0277,Science,0,1.0,0.0354,HIGH,Wikipedia / Synthetic Reference Corpora
sci_0278,Science,1,1.0,0.4,MODERATE,Wikipedia / Synthetic Reference Corpora
sci_0279,Science,0,1.0,0.1316,HIGH,Wikipedia / Synthetic Reference Corpora
sci_0280,Science,1,1.0,0.0698,MODERATE,Wikipedia / Synthetic Reference Corpora
sci_0281,Science,0,1.0,0.0508,HIGH,Wikipedia / Synthetic Reference Corpora
sci_0282,Science,1,1.0,0.4,MODERATE,Wikipedia / Synthetic Reference Corpora
sci_0283,Science,0,1.0,0.2188,HIGH,Wikipedia / Synthetic Reference Corpora
sci_0284,Science,1,1.0,0.0667,MODERATE,Wikipedia / Synthetic Reference Corpora
sci_0285,Science,0,1.0,0.0319,HIGH,Wikipedia / Synthetic Reference Corpora
sci_0286,Science,1,1.0,0.4,MODERATE,Wikipedia / Synthetic Reference Corpora
sci_0287,Science,0,1.0,0.1724,HIGH,Wikipedia / Synthetic Reference Corpora
sci_0288,Science,1,1.0,0.1622,MODERATE,Wikipedia / Synthetic Reference Corpora
sci_0289,Science,0,1.0,0.0517,HIGH,Wikipedia / Synthetic Reference Corpora
sci_0290,Science,1,1.0,0.4,MODERATE,Wikipedia / Synthetic Reference Corpora
sci_0291,Science,0,1.0,0.3571,HIGH,Wikipedia / Synthetic Reference Corpora
sci_0292,Science,1,1.0,0.0678,MODERATE,Wikipedia / Synthetic Reference Corpora
sci_0293,Science,0,1.0,0.0435,HIGH,Wikipedia / Synthetic Reference Corpora
sci_0294,Science,1,1.0,0.5,MODERATE,Wikipedia / Synthetic Reference Corpora
sci_0295,Science,0,1.0,0.1,HIGH,Wikipedia / Synthetic Reference Corpora
sci_0296,Science,1,1.0,0.125,MODERATE,Wikipedia / Synthetic Reference Corpora
sci_0297,Science,0,1.0,0.0635,HIGH,Wikipedia / Synthetic Reference Corpora
sci_0298,Science,1,1.0,0.4,MODERATE,Wikipedia / Synthetic Reference Corpora
sci_0299,Science,0,1.0,0.2143,HIGH,Wikipedia / Synthetic Reference Corpora
sci_0300,Science,1,1.0,0.0652,MODERATE,Wikipedia / Synthetic Reference Corpora
com_0301,Computer Science,0,1.0,0.4375,HIGH,Wikipedia / Synthetic Reference Corpora
com_0302,Computer Science,1,1.0,0.0351,MODERATE,Wikipedia / Synthetic Reference Corpora
com_0303,Computer Science,0,1.0,0.0291,HIGH,Wikipedia / Synthetic Reference Corpora
