id,fusion_mode,available_pillars,missing_pillars,raw_weights,effective_weights,pillar_scores,weighted_contributions,reconstructed_h_score,stored_h_score,absolute_error
gen_0011,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.05, ""cg"": null, ""cf"": null}","{""p1"": 0.05, ""p2"": 0.0, ""p3"": 0.0}",0.05,0.05,0.0000000000e+00
gen_0012,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.7865, ""cg"": null, ""cf"": null}","{""p1"": 0.7865, ""p2"": 0.0, ""p3"": 0.0}",0.7865,0.7865,0.0000000000e+00
gen_0013,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0021, ""cg"": null, ""cf"": null}","{""p1"": 0.0021, ""p2"": 0.0, ""p3"": 0.0}",0.0021,0.0021,0.0000000000e+00
gen_0014,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.9992, ""cg"": null, ""cf"": null}","{""p1"": 0.9992, ""p2"": 0.0, ""p3"": 0.0}",0.9992,0.9992,0.0000000000e+00
gen_0015,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.05, ""cg"": null, ""cf"": null}","{""p1"": 0.05, ""p2"": 0.0, ""p3"": 0.0}",0.05,0.05,0.0000000000e+00
gen_0016,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.7865, ""cg"": null, ""cf"": null}","{""p1"": 0.7865, ""p2"": 0.0, ""p3"": 0.0}",0.7865,0.7865,0.0000000000e+00
gen_0017,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0021, ""cg"": null, ""cf"": null}","{""p1"": 0.0021, ""p2"": 0.0, ""p3"": 0.0}",0.0021,0.0021,0.0000000000e+00
gen_0018,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.9992, ""cg"": null, ""cf"": null}","{""p1"": 0.9992, ""p2"": 0.0, ""p3"": 0.0}",0.9992,0.9992,0.0000000000e+00
gen_0019,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.05, ""cg"": null, ""cf"": null}","{""p1"": 0.05, ""p2"": 0.0, ""p3"": 0.0}",0.05,0.05,0.0000000000e+00
gen_0020,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.7865, ""cg"": null, ""cf"": null}","{""p1"": 0.7865, ""p2"": 0.0, ""p3"": 0.0}",0.7865,0.7865,0.0000000000e+00
gen_0021,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0021, ""cg"": null, ""cf"": null}","{""p1"": 0.0021, ""p2"": 0.0, ""p3"": 0.0}",0.0021,0.0021,0.0000000000e+00
gen_0022,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.9992, ""cg"": null, ""cf"": null}","{""p1"": 0.9992, ""p2"": 0.0, ""p3"": 0.0}",0.9992,0.9992,0.0000000000e+00
gen_0023,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.05, ""cg"": null, ""cf"": null}","{""p1"": 0.05, ""p2"": 0.0, ""p3"": 0.0}",0.05,0.05,0.0000000000e+00
gen_0024,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.7865, ""cg"": null, ""cf"": null}","{""p1"": 0.7865, ""p2"": 0.0, ""p3"": 0.0}",0.7865,0.7865,0.0000000000e+00
gen_0025,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0021, ""cg"": null, ""cf"": null}","{""p1"": 0.0021, ""p2"": 0.0, ""p3"": 0.0}",0.0021,0.0021,0.0000000000e+00
gen_0026,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.9992, ""cg"": null, ""cf"": null}","{""p1"": 0.9992, ""p2"": 0.0, ""p3"": 0.0}",0.9992,0.9992,0.0000000000e+00
gen_0027,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.05, ""cg"": null, ""cf"": null}","{""p1"": 0.05, ""p2"": 0.0, ""p3"": 0.0}",0.05,0.05,0.0000000000e+00
gen_0028,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.7865, ""cg"": null, ""cf"": null}","{""p1"": 0.7865, ""p2"": 0.0, ""p3"": 0.0}",0.7865,0.7865,0.0000000000e+00
gen_0029,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0021, ""cg"": null, ""cf"": null}","{""p1"": 0.0021, ""p2"": 0.0, ""p3"": 0.0}",0.0021,0.0021,0.0000000000e+00
gen_0030,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.9992, ""cg"": null, ""cf"": null}","{""p1"": 0.9992, ""p2"": 0.0, ""p3"": 0.0}",0.9992,0.9992,0.0000000000e+00
gen_0031,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.05, ""cg"": null, ""cf"": null}","{""p1"": 0.05, ""p2"": 0.0, ""p3"": 0.0}",0.05,0.05,0.0000000000e+00
gen_0032,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.7865, ""cg"": null, ""cf"": null}","{""p1"": 0.7865, ""p2"": 0.0, ""p3"": 0.0}",0.7865,0.7865,0.0000000000e+00
gen_0033,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0021, ""cg"": null, ""cf"": null}","{""p1"": 0.0021, ""p2"": 0.0, ""p3"": 0.0}",0.0021,0.0021,0.0000000000e+00
gen_0034,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.9992, ""cg"": null, ""cf"": null}","{""p1"": 0.9992, ""p2"": 0.0, ""p3"": 0.0}",0.9992,0.9992,0.0000000000e+00
gen_0035,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.05, ""cg"": null, ""cf"": null}","{""p1"": 0.05, ""p2"": 0.0, ""p3"": 0.0}",0.05,0.05,0.0000000000e+00
gen_0036,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.7865, ""cg"": null, ""cf"": null}","{""p1"": 0.7865, ""p2"": 0.0, ""p3"": 0.0}",0.7865,0.7865,0.0000000000e+00
gen_0037,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0021, ""cg"": null, ""cf"": null}","{""p1"": 0.0021, ""p2"": 0.0, ""p3"": 0.0}",0.0021,0.0021,0.0000000000e+00
gen_0038,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.9992, ""cg"": null, ""cf"": null}","{""p1"": 0.9992, ""p2"": 0.0, ""p3"": 0.0}",0.9992,0.9992,0.0000000000e+00
gen_0039,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.05, ""cg"": null, ""cf"": null}","{""p1"": 0.05, ""p2"": 0.0, ""p3"": 0.0}",0.05,0.05,0.0000000000e+00
gen_0040,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.7865, ""cg"": null, ""cf"": null}","{""p1"": 0.7865, ""p2"": 0.0, ""p3"": 0.0}",0.7865,0.7865,0.0000000000e+00
gen_0041,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0021, ""cg"": null, ""cf"": null}","{""p1"": 0.0021, ""p2"": 0.0, ""p3"": 0.0}",0.0021,0.0021,0.0000000000e+00
gen_0042,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.9992, ""cg"": null, ""cf"": null}","{""p1"": 0.9992, ""p2"": 0.0, ""p3"": 0.0}",0.9992,0.9992,0.0000000000e+00
gen_0043,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.05, ""cg"": null, ""cf"": null}","{""p1"": 0.05, ""p2"": 0.0, ""p3"": 0.0}",0.05,0.05,0.0000000000e+00
gen_0044,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.7865, ""cg"": null, ""cf"": null}","{""p1"": 0.7865, ""p2"": 0.0, ""p3"": 0.0}",0.7865,0.7865,0.0000000000e+00
gen_0045,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0021, ""cg"": null, ""cf"": null}","{""p1"": 0.0021, ""p2"": 0.0, ""p3"": 0.0}",0.0021,0.0021,0.0000000000e+00
gen_0046,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.9992, ""cg"": null, ""cf"": null}","{""p1"": 0.9992, ""p2"": 0.0, ""p3"": 0.0}",0.9992,0.9992,0.0000000000e+00
gen_0047,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.05, ""cg"": null, ""cf"": null}","{""p1"": 0.05, ""p2"": 0.0, ""p3"": 0.0}",0.05,0.05,0.0000000000e+00
gen_0048,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.7865, ""cg"": null, ""cf"": null}","{""p1"": 0.7865, ""p2"": 0.0, ""p3"": 0.0}",0.7865,0.7865,0.0000000000e+00
gen_0049,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0021, ""cg"": null, ""cf"": null}","{""p1"": 0.0021, ""p2"": 0.0, ""p3"": 0.0}",0.0021,0.0021,0.0000000000e+00
gen_0050,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.9992, ""cg"": null, ""cf"": null}","{""p1"": 0.9992, ""p2"": 0.0, ""p3"": 0.0}",0.9992,0.9992,0.0000000000e+00
med_0051,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0047, ""cg"": null, ""cf"": null}","{""p1"": 0.0047, ""p2"": 0.0, ""p3"": 0.0}",0.0047,0.0047,0.0000000000e+00
med_0052,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.5006, ""cg"": null, ""cf"": null}","{""p1"": 0.5006, ""p2"": 0.0, ""p3"": 0.0}",0.5006,0.5006,0.0000000000e+00
med_0053,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.1333, ""cg"": null, ""cf"": null}","{""p1"": 0.1333, ""p2"": 0.0, ""p3"": 0.0}",0.1333,0.1333,0.0000000000e+00
med_0054,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 1.0, ""cg"": null, ""cf"": null}","{""p1"": 1.0, ""p2"": 0.0, ""p3"": 0.0}",1.0,1.0,0.0000000000e+00
med_0055,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0047, ""cg"": null, ""cf"": null}","{""p1"": 0.0047, ""p2"": 0.0, ""p3"": 0.0}",0.0047,0.0047,0.0000000000e+00
med_0056,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.5006, ""cg"": null, ""cf"": null}","{""p1"": 0.5006, ""p2"": 0.0, ""p3"": 0.0}",0.5006,0.5006,0.0000000000e+00
med_0057,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.1333, ""cg"": null, ""cf"": null}","{""p1"": 0.1333, ""p2"": 0.0, ""p3"": 0.0}",0.1333,0.1333,0.0000000000e+00
med_0058,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 1.0, ""cg"": null, ""cf"": null}","{""p1"": 1.0, ""p2"": 0.0, ""p3"": 0.0}",1.0,1.0,0.0000000000e+00
med_0059,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0047, ""cg"": null, ""cf"": null}","{""p1"": 0.0047, ""p2"": 0.0, ""p3"": 0.0}",0.0047,0.0047,0.0000000000e+00
med_0060,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.5006, ""cg"": null, ""cf"": null}","{""p1"": 0.5006, ""p2"": 0.0, ""p3"": 0.0}",0.5006,0.5006,0.0000000000e+00
med_0061,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.1333, ""cg"": null, ""cf"": null}","{""p1"": 0.1333, ""p2"": 0.0, ""p3"": 0.0}",0.1333,0.1333,0.0000000000e+00
med_0062,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 1.0, ""cg"": null, ""cf"": null}","{""p1"": 1.0, ""p2"": 0.0, ""p3"": 0.0}",1.0,1.0,0.0000000000e+00
med_0063,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0047, ""cg"": null, ""cf"": null}","{""p1"": 0.0047, ""p2"": 0.0, ""p3"": 0.0}",0.0047,0.0047,0.0000000000e+00
med_0064,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.5006, ""cg"": null, ""cf"": null}","{""p1"": 0.5006, ""p2"": 0.0, ""p3"": 0.0}",0.5006,0.5006,0.0000000000e+00
med_0065,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.1333, ""cg"": null, ""cf"": null}","{""p1"": 0.1333, ""p2"": 0.0, ""p3"": 0.0}",0.1333,0.1333,0.0000000000e+00
med_0066,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 1.0, ""cg"": null, ""cf"": null}","{""p1"": 1.0, ""p2"": 0.0, ""p3"": 0.0}",1.0,1.0,0.0000000000e+00
med_0067,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0047, ""cg"": null, ""cf"": null}","{""p1"": 0.0047, ""p2"": 0.0, ""p3"": 0.0}",0.0047,0.0047,0.0000000000e+00
med_0068,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.5006, ""cg"": null, ""cf"": null}","{""p1"": 0.5006, ""p2"": 0.0, ""p3"": 0.0}",0.5006,0.5006,0.0000000000e+00
med_0069,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.1333, ""cg"": null, ""cf"": null}","{""p1"": 0.1333, ""p2"": 0.0, ""p3"": 0.0}",0.1333,0.1333,0.0000000000e+00
med_0070,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 1.0, ""cg"": null, ""cf"": null}","{""p1"": 1.0, ""p2"": 0.0, ""p3"": 0.0}",1.0,1.0,0.0000000000e+00
med_0071,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0047, ""cg"": null, ""cf"": null}","{""p1"": 0.0047, ""p2"": 0.0, ""p3"": 0.0}",0.0047,0.0047,0.0000000000e+00
med_0072,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.5006, ""cg"": null, ""cf"": null}","{""p1"": 0.5006, ""p2"": 0.0, ""p3"": 0.0}",0.5006,0.5006,0.0000000000e+00
med_0073,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.1333, ""cg"": null, ""cf"": null}","{""p1"": 0.1333, ""p2"": 0.0, ""p3"": 0.0}",0.1333,0.1333,0.0000000000e+00
med_0074,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 1.0, ""cg"": null, ""cf"": null}","{""p1"": 1.0, ""p2"": 0.0, ""p3"": 0.0}",1.0,1.0,0.0000000000e+00
