id,domain,ground_truth,p1_available,p2_available,p3_available,fusion_mode,p1_score,p2_score,p3_score,h_score
gen_0046,General Knowledge,1,True,False,False,PARTIAL_RENORMALIZED,0.9992,,,0.9992
gen_0047,General Knowledge,0,True,False,False,PARTIAL_RENORMALIZED,0.05,,,0.05
gen_0048,General Knowledge,1,True,False,False,PARTIAL_RENORMALIZED,0.7865,,,0.7865
gen_0049,General Knowledge,0,True,False,False,PARTIAL_RENORMALIZED,0.0021,,,0.0021
gen_0050,General Knowledge,1,True,False,False,PARTIAL_RENORMALIZED,0.9992,,,0.9992
med_0051,Medicine,0,True,False,False,PARTIAL_RENORMALIZED,0.0047,,,0.0047
med_0052,Medicine,1,True,False,False,PARTIAL_RENORMALIZED,0.5006,,,0.5006
med_0053,Medicine,0,True,False,False,PARTIAL_RENORMALIZED,0.1333,,,0.1333
med_0054,Medicine,1,True,False,False,PARTIAL_RENORMALIZED,1.0,,,1.0
med_0055,Medicine,0,True,False,False,PARTIAL_RENORMALIZED,0.0047,,,0.0047
med_0056,Medicine,1,True,False,False,PARTIAL_RENORMALIZED,0.5006,,,0.5006
med_0057,Medicine,0,True,False,False,PARTIAL_RENORMALIZED,0.1333,,,0.1333
med_0058,Medicine,1,True,False,False,PARTIAL_RENORMALIZED,1.0,,,1.0
med_0059,Medicine,0,True,False,False,PARTIAL_RENORMALIZED,0.0047,,,0.0047
med_0060,Medicine,1,True,False,False,PARTIAL_RENORMALIZED,0.5006,,,0.5006
med_0061,Medicine,0,True,False,False,PARTIAL_RENORMALIZED,0.1333,,,0.1333
med_0062,Medicine,1,True,False,False,PARTIAL_RENORMALIZED,1.0,,,1.0
med_0063,Medicine,0,True,False,False,PARTIAL_RENORMALIZED,0.0047,,,0.0047
med_0064,Medicine,1,True,False,False,PARTIAL_RENORMALIZED,0.5006,,,0.5006
med_0065,Medicine,0,True,False,False,PARTIAL_RENORMALIZED,0.1333,,,0.1333
med_0066,Medicine,1,True,False,False,PARTIAL_RENORMALIZED,1.0,,,1.0
med_0067,Medicine,0,True,False,False,PARTIAL_RENORMALIZED,0.0047,,,0.0047
med_0068,Medicine,1,True,False,False,PARTIAL_RENORMALIZED,0.5006,,,0.5006
med_0069,Medicine,0,True,False,False,PARTIAL_RENORMALIZED,0.1333,,,0.1333
med_0070,Medicine,1,True,False,False,PARTIAL_RENORMALIZED,1.0,,,1.0
med_0071,Medicine,0,True,False,False,PARTIAL_RENORMALIZED,0.0047,,,0.0047
med_0072,Medicine,1,True,False,False,PARTIAL_RENORMALIZED,0.5006,,,0.5006
med_0073,Medicine,0,True,False,False,PARTIAL_RENORMALIZED,0.1333,,,0.1333
med_0074,Medicine,1,True,False,False,PARTIAL_RENORMALIZED,1.0,,,1.0
med_0075,Medicine,0,True,False,False,PARTIAL_RENORMALIZED,0.0047,,,0.0047
med_0076,Medicine,1,True,False,False,PARTIAL_RENORMALIZED,0.5006,,,0.5006
med_0077,Medicine,0,True,False,False,PARTIAL_RENORMALIZED,0.1333,,,0.1333
med_0078,Medicine,1,True,False,False,PARTIAL_RENORMALIZED,1.0,,,1.0
med_0079,Medicine,0,True,False,False,PARTIAL_RENORMALIZED,0.0047,,,0.0047
med_0080,Medicine,1,True,False,False,PARTIAL_RENORMALIZED,0.5006,,,0.5006
med_0081,Medicine,0,True,False,False,PARTIAL_RENORMALIZED,0.1333,,,0.1333
med_0082,Medicine,1,True,False,False,PARTIAL_RENORMALIZED,1.0,,,1.0
med_0083,Medicine,0,True,False,False,PARTIAL_RENORMALIZED,0.0047,,,0.0047
med_0084,Medicine,1,True,False,False,PARTIAL_RENORMALIZED,0.5006,,,0.5006
med_0085,Medicine,0,True,False,False,PARTIAL_RENORMALIZED,0.1333,,,0.1333
med_0086,Medicine,1,True,False,False,PARTIAL_RENORMALIZED,1.0,,,1.0
med_0087,Medicine,0,True,False,False,PARTIAL_RENORMALIZED,0.0047,,,0.0047
med_0088,Medicine,1,True,False,False,PARTIAL_RENORMALIZED,0.5006,,,0.5006
med_0089,Medicine,0,True,False,False,PARTIAL_RENORMALIZED,0.1333,,,0.1333
med_0090,Medicine,1,True,False,False,PARTIAL_RENORMALIZED,1.0,,,1.0
med_0091,Medicine,0,True,False,False,PARTIAL_RENORMALIZED,0.0047,,,0.0047
med_0092,Medicine,1,True,False,False,PARTIAL_RENORMALIZED,0.5006,,,0.5006
med_0093,Medicine,0,True,False,False,PARTIAL_RENORMALIZED,0.1333,,,0.1333
med_0094,Medicine,1,True,False,False,PARTIAL_RENORMALIZED,1.0,,,1.0
med_0095,Medicine,0,True,False,False,PARTIAL_RENORMALIZED,0.0047,,,0.0047
med_0096,Medicine,1,True,False,False,PARTIAL_RENORMALIZED,0.5006,,,0.5006
med_0097,Medicine,0,True,False,False,PARTIAL_RENORMALIZED,0.1333,,,0.1333
med_0098,Medicine,1,True,False,False,PARTIAL_RENORMALIZED,1.0,,,1.0
med_0099,Medicine,0,True,False,False,PARTIAL_RENORMALIZED,0.0047,,,0.0047
med_0100,Medicine,1,True,False,False,PARTIAL_RENORMALIZED,0.5006,,,0.5006
law_0101,Law,0,True,False,False,PARTIAL_RENORMALIZED,0.0025,,,0.0025
law_0102,Law,1,True,False,False,PARTIAL_RENORMALIZED,0.1571,,,0.1571
law_0103,Law,0,True,False,False,PARTIAL_RENORMALIZED,0.1438,,,0.1438
law_0104,Law,1,True,False,False,PARTIAL_RENORMALIZED,0.9782,,,0.9782
law_0105,Law,0,True,False,False,PARTIAL_RENORMALIZED,0.0025,,,0.0025
law_0106,Law,1,True,False,False,PARTIAL_RENORMALIZED,0.1571,,,0.1571
law_0107,Law,0,True,False,False,PARTIAL_RENORMALIZED,0.1438,,,0.1438
law_0108,Law,1,True,False,False,PARTIAL_RENORMALIZED,0.9782,,,0.9782
law_0109,Law,0,True,False,False,PARTIAL_RENORMALIZED,0.0025,,,0.0025
law_0110,Law,1,True,False,False,PARTIAL_RENORMALIZED,0.1571,,,0.1571
law_0111,Law,0,True,False,False,PARTIAL_RENORMALIZED,0.1438,,,0.1438
law_0112,Law,1,True,False,False,PARTIAL_RENORMALIZED,0.9782,,,0.9782
law_0113,Law,0,True,False,False,PARTIAL_RENORMALIZED,0.0025,,,0.0025
law_0114,Law,1,True,False,False,PARTIAL_RENORMALIZED,0.1571,,,0.1571
law_0115,Law,0,True,False,False,PARTIAL_RENORMALIZED,0.1438,,,0.1438
law_0116,Law,1,True,False,False,PARTIAL_RENORMALIZED,0.9782,,,0.9782
law_0117,Law,0,True,False,False,PARTIAL_RENORMALIZED,0.0025,,,0.0025
law_0118,Law,1,True,False,False,PARTIAL_RENORMALIZED,0.1571,,,0.1571
law_0119,Law,0,True,False,False,PARTIAL_RENORMALIZED,0.1438,,,0.1438
law_0120,Law,1,True,False,False,PARTIAL_RENORMALIZED,0.9782,,,0.9782
law_0121,Law,0,True,False,False,PARTIAL_RENORMALIZED,0.0025,,,0.0025
law_0122,Law,1,True,False,False,PARTIAL_RENORMALIZED,0.1571,,,0.1571
law_0123,Law,0,True,False,False,PARTIAL_RENORMALIZED,0.1438,,,0.1438
law_0124,Law,1,True,False,False,PARTIAL_RENORMALIZED,0.9782,,,0.9782
law_0125,Law,0,True,False,False,PARTIAL_RENORMALIZED,0.0025,,,0.0025
law_0126,Law,1,True,False,False,PARTIAL_RENORMALIZED,0.1571,,,0.1571
law_0127,Law,0,True,False,False,PARTIAL_RENORMALIZED,0.1438,,,0.1438
law_0128,Law,1,True,False,False,PARTIAL_RENORMALIZED,0.9782,,,0.9782
law_0129,Law,0,True,False,False,PARTIAL_RENORMALIZED,0.0025,,,0.0025
law_0130,Law,1,True,False,False,PARTIAL_RENORMALIZED,0.1571,,,0.1571
law_0131,Law,0,True,False,False,PARTIAL_RENORMALIZED,0.1438,,,0.1438
law_0132,Law,1,True,False,False,PARTIAL_RENORMALIZED,0.9782,,,0.9782
law_0133,Law,0,True,False,False,PARTIAL_RENORMALIZED,0.0025,,,0.0025
law_0134,Law,1,True,False,False,PARTIAL_RENORMALIZED,0.1571,,,0.1571
law_0135,Law,0,True,False,False,PARTIAL_RENORMALIZED,0.1438,,,0.1438
law_0136,Law,1,True,False,False,PARTIAL_RENORMALIZED,0.9782,,,0.9782
law_0137,Law,0,True,False,False,PARTIAL_RENORMALIZED,0.0025,,,0.0025
law_0138,Law,1,True,False,False,PARTIAL_RENORMALIZED,0.1571,,,0.1571
law_0139,Law,0,True,False,False,PARTIAL_RENORMALIZED,0.1438,,,0.1438
law_0140,Law,1,True,False,False,PARTIAL_RENORMALIZED,0.9782,,,0.9782
law_0141,Law,0,True,False,False,PARTIAL_RENORMALIZED,0.0025,,,0.0025
law_0142,Law,1,True,False,False,PARTIAL_RENORMALIZED,0.1571,,,0.1571
law_0143,Law,0,True,False,False,PARTIAL_RENORMALIZED,0.1438,,,0.1438
law_0144,Law,1,True,False,False,PARTIAL_RENORMALIZED,0.9782,,,0.9782
law_0145,Law,0,True,False,False,PARTIAL_RENORMALIZED,0.0025,,,0.0025
law_0146,Law,1,True,False,False,PARTIAL_RENORMALIZED,0.1571,,,0.1571
law_0147,Law,0,True,False,False,PARTIAL_RENORMALIZED,0.1438,,,0.1438
law_0148,Law,1,True,False,False,PARTIAL_RENORMALIZED,0.9782,,,0.9782
law_0149,Law,0,True,False,False,PARTIAL_RENORMALIZED,0.0025,,,0.0025
law_0150,Law,1,True,False,False,PARTIAL_RENORMALIZED,0.1571,,,0.1571
fin_0151,Finance,0,True,False,False,PARTIAL_RENORMALIZED,0.4981,,,0.4981
fin_0152,Finance,1,True,False,False,PARTIAL_RENORMALIZED,0.175,,,0.175
fin_0153,Finance,0,True,False,False,PARTIAL_RENORMALIZED,0.1,,,0.1
fin_0154,Finance,1,True,False,False,PARTIAL_RENORMALIZED,0.9762,,,0.9762
fin_0155,Finance,0,True,False,False,PARTIAL_RENORMALIZED,0.4981,,,0.4981
fin_0156,Finance,1,True,False,False,PARTIAL_RENORMALIZED,0.175,,,0.175
fin_0157,Finance,0,True,False,False,PARTIAL_RENORMALIZED,0.1,,,0.1
fin_0158,Finance,1,True,False,False,PARTIAL_RENORMALIZED,0.9762,,,0.9762
fin_0159,Finance,0,True,False,False,PARTIAL_RENORMALIZED,0.4981,,,0.4981
fin_0160,Finance,1,True,False,False,PARTIAL_RENORMALIZED,0.175,,,0.175
fin_0161,Finance,0,True,False,False,PARTIAL_RENORMALIZED,0.1,,,0.1
fin_0162,Finance,1,True,False,False,PARTIAL_RENORMALIZED,0.9762,,,0.9762
fin_0163,Finance,0,True,False,False,PARTIAL_RENORMALIZED,0.4981,,,0.4981
fin_0164,Finance,1,True,False,False,PARTIAL_RENORMALIZED,0.175,,,0.175
fin_0165,Finance,0,True,False,False,PARTIAL_RENORMALIZED,0.1,,,0.1
fin_0166,Finance,1,True,False,False,PARTIAL_RENORMALIZED,0.9762,,,0.9762
fin_0167,Finance,0,True,False,False,PARTIAL_RENORMALIZED,0.4981,,,0.4981
fin_0168,Finance,1,True,False,False,PARTIAL_RENORMALIZED,0.175,,,0.175
fin_0169,Finance,0,True,False,False,PARTIAL_RENORMALIZED,0.1,,,0.1
fin_0170,Finance,1,True,False,False,PARTIAL_RENORMALIZED,0.9762,,,0.9762
fin_0171,Finance,0,True,False,False,PARTIAL_RENORMALIZED,0.4981,,,0.4981
fin_0172,Finance,1,True,False,False,PARTIAL_RENORMALIZED,0.175,,,0.175
fin_0173,Finance,0,True,False,False,PARTIAL_RENORMALIZED,0.1,,,0.1
fin_0174,Finance,1,True,False,False,PARTIAL_RENORMALIZED,0.9762,,,0.9762
fin_0175,Finance,0,True,False,False,PARTIAL_RENORMALIZED,0.4981,,,0.4981
fin_0176,Finance,1,True,False,False,PARTIAL_RENORMALIZED,0.175,,,0.175
fin_0177,Finance,0,True,False,False,PARTIAL_RENORMALIZED,0.1,,,0.1
fin_0178,Finance,1,True,False,False,PARTIAL_RENORMALIZED,0.9762,,,0.9762
fin_0179,Finance,0,True,False,False,PARTIAL_RENORMALIZED,0.4981,,,0.4981
fin_0180,Finance,1,True,False,False,PARTIAL_RENORMALIZED,0.175,,,0.175
fin_0181,Finance,0,True,False,False,PARTIAL_RENORMALIZED,0.1,,,0.1
fin_0182,Finance,1,True,False,False,PARTIAL_RENORMALIZED,0.9762,,,0.9762
fin_0183,Finance,0,True,False,False,PARTIAL_RENORMALIZED,0.4981,,,0.4981
fin_0184,Finance,1,True,False,False,PARTIAL_RENORMALIZED,0.175,,,0.175
fin_0185,Finance,0,True,False,False,PARTIAL_RENORMALIZED,0.1,,,0.1
fin_0186,Finance,1,True,False,False,PARTIAL_RENORMALIZED,0.9762,,,0.9762
fin_0187,Finance,0,True,False,False,PARTIAL_RENORMALIZED,0.4981,,,0.4981
fin_0188,Finance,1,True,False,False,PARTIAL_RENORMALIZED,0.175,,,0.175
fin_0189,Finance,0,True,False,False,PARTIAL_RENORMALIZED,0.1,,,0.1
fin_0190,Finance,1,True,False,False,PARTIAL_RENORMALIZED,0.9762,,,0.9762
fin_0191,Finance,0,True,False,False,PARTIAL_RENORMALIZED,0.4981,,,0.4981
fin_0192,Finance,1,True,False,False,PARTIAL_RENORMALIZED,0.175,,,0.175
fin_0193,Finance,0,True,False,False,PARTIAL_RENORMALIZED,0.1,,,0.1
fin_0194,Finance,1,True,False,False,PARTIAL_RENORMALIZED,0.9762,,,0.9762
fin_0195,Finance,0,True,False,False,PARTIAL_RENORMALIZED,0.4981,,,0.4981
fin_0196,Finance,1,True,False,False,PARTIAL_RENORMALIZED,0.175,,,0.175
fin_0197,Finance,0,True,False,False,PARTIAL_RENORMALIZED,0.1,,,0.1
fin_0198,Finance,1,True,False,False,PARTIAL_RENORMALIZED,0.9762,,,0.9762
fin_0199,Finance,0,True,False,False,PARTIAL_RENORMALIZED,0.4981,,,0.4981
fin_0200,Finance,1,True,False,False,PARTIAL_RENORMALIZED,0.175,,,0.175
his_0201,History,0,True,False,False,PARTIAL_RENORMALIZED,0.0031,,,0.0031
his_0202,History,1,True,False,False,PARTIAL_RENORMALIZED,0.05,,,0.05
his_0203,History,0,True,False,False,PARTIAL_RENORMALIZED,0.1333,,,0.1333
his_0204,History,1,True,False,False,PARTIAL_RENORMALIZED,0.9991,,,0.9991
his_0205,History,0,True,False,False,PARTIAL_RENORMALIZED,0.0031,,,0.0031
his_0206,History,1,True,False,False,PARTIAL_RENORMALIZED,0.05,,,0.05
his_0207,History,0,True,False,False,PARTIAL_RENORMALIZED,0.1333,,,0.1333
his_0208,History,1,True,False,False,PARTIAL_RENORMALIZED,0.9991,,,0.9991
his_0209,History,0,True,False,False,PARTIAL_RENORMALIZED,0.0031,,,0.0031
his_0210,History,1,True,False,False,PARTIAL_RENORMALIZED,0.05,,,0.05
his_0211,History,0,True,False,False,PARTIAL_RENORMALIZED,0.1333,,,0.1333
his_0212,History,1,True,False,False,PARTIAL_RENORMALIZED,0.9991,,,0.9991
his_0213,History,0,True,False,False,PARTIAL_RENORMALIZED,0.0031,,,0.0031
his_0214,History,1,True,False,False,PARTIAL_RENORMALIZED,0.05,,,0.05
his_0215,History,0,True,False,False,PARTIAL_RENORMALIZED,0.1333,,,0.1333
his_0216,History,1,True,False,False,PARTIAL_RENORMALIZED,0.9991,,,0.9991
his_0217,History,0,True,False,False,PARTIAL_RENORMALIZED,0.0031,,,0.0031
his_0218,History,1,True,False,False,PARTIAL_RENORMALIZED,0.05,,,0.05
his_0219,History,0,True,False,False,PARTIAL_RENORMALIZED,0.1333,,,0.1333
his_0220,History,1,True,False,False,PARTIAL_RENORMALIZED,0.9991,,,0.9991
his_0221,History,0,True,False,False,PARTIAL_RENORMALIZED,0.0031,,,0.0031
his_0222,History,1,True,False,False,PARTIAL_RENORMALIZED,0.05,,,0.05
his_0223,History,0,True,False,False,PARTIAL_RENORMALIZED,0.1333,,,0.1333
his_0224,History,1,True,False,False,PARTIAL_RENORMALIZED,0.9991,,,0.9991
his_0225,History,0,True,False,False,PARTIAL_RENORMALIZED,0.0031,,,0.0031
his_0226,History,1,True,False,False,PARTIAL_RENORMALIZED,0.05,,,0.05
his_0227,History,0,True,False,False,PARTIAL_RENORMALIZED,0.1333,,,0.1333
his_0228,History,1,True,False,False,PARTIAL_RENORMALIZED,0.9991,,,0.9991
his_0229,History,0,True,False,False,PARTIAL_RENORMALIZED,0.0031,,,0.0031
his_0230,History,1,True,False,False,PARTIAL_RENORMALIZED,0.05,,,0.05
his_0231,History,0,True,False,False,PARTIAL_RENORMALIZED,0.1333,,,0.1333
his_0232,History,1,True,False,False,PARTIAL_RENORMALIZED,0.9991,,,0.9991
his_0233,History,0,True,False,False,PARTIAL_RENORMALIZED,0.0031,,,0.0031
his_0234,History,1,True,False,False,PARTIAL_RENORMALIZED,0.05,,,0.05
his_0235,History,0,True,False,False,PARTIAL_RENORMALIZED,0.1333,,,0.1333
his_0236,History,1,True,False,False,PARTIAL_RENORMALIZED,0.9991,,,0.9991
his_0237,History,0,True,False,False,PARTIAL_RENORMALIZED,0.0031,,,0.0031
his_0238,History,1,True,False,False,PARTIAL_RENORMALIZED,0.05,,,0.05
his_0239,History,0,True,False,False,PARTIAL_RENORMALIZED,0.1333,,,0.1333
his_0240,History,1,True,False,False,PARTIAL_RENORMALIZED,0.9991,,,0.9991
his_0241,History,0,True,False,False,PARTIAL_RENORMALIZED,0.0031,,,0.0031
his_0242,History,1,True,False,False,PARTIAL_RENORMALIZED,0.05,,,0.05
his_0243,History,0,True,False,False,PARTIAL_RENORMALIZED,0.1333,,,0.1333
his_0244,History,1,True,False,False,PARTIAL_RENORMALIZED,0.9991,,,0.9991
his_0245,History,0,True,False,False,PARTIAL_RENORMALIZED,0.0031,,,0.0031
his_0246,History,1,True,False,False,PARTIAL_RENORMALIZED,0.05,,,0.05
his_0247,History,0,True,False,False,PARTIAL_RENORMALIZED,0.1333,,,0.1333
his_0248,History,1,True,False,False,PARTIAL_RENORMALIZED,0.9991,,,0.9991
his_0249,History,0,True,False,False,PARTIAL_RENORMALIZED,0.0031,,,0.0031
his_0250,History,1,True,False,False,PARTIAL_RENORMALIZED,0.05,,,0.05
sci_0251,Science,0,True,False,False,PARTIAL_RENORMALIZED,0.1,,,0.1
sci_0252,Science,1,True,False,False,PARTIAL_RENORMALIZED,1.0,,,1.0
sci_0253,Science,0,True,False,False,PARTIAL_RENORMALIZED,0.0135,,,0.0135
sci_0254,Science,1,True,False,False,PARTIAL_RENORMALIZED,0.4609,,,0.4609
sci_0255,Science,0,True,False,False,PARTIAL_RENORMALIZED,0.1,,,0.1
sci_0256,Science,1,True,False,False,PARTIAL_RENORMALIZED,1.0,,,1.0
sci_0257,Science,0,True,False,False,PARTIAL_RENORMALIZED,0.0135,,,0.0135
sci_0258,Science,1,True,False,False,PARTIAL_RENORMALIZED,0.4609,,,0.4609
sci_0259,Science,0,True,False,False,PARTIAL_RENORMALIZED,0.1,,,0.1
sci_0260,Science,1,True,False,False,PARTIAL_RENORMALIZED,1.0,,,1.0
sci_0261,Science,0,True,False,False,PARTIAL_RENORMALIZED,0.0135,,,0.0135
sci_0262,Science,1,True,False,False,PARTIAL_RENORMALIZED,0.4609,,,0.4609
sci_0263,Science,0,True,False,False,PARTIAL_RENORMALIZED,0.1,,,0.1
sci_0264,Science,1,True,False,False,PARTIAL_RENORMALIZED,1.0,,,1.0
sci_0265,Science,0,True,False,False,PARTIAL_RENORMALIZED,0.0135,,,0.0135
sci_0266,Science,1,True,False,False,PARTIAL_RENORMALIZED,0.4609,,,0.4609
sci_0267,Science,0,True,False,False,PARTIAL_RENORMALIZED,0.1,,,0.1
sci_0268,Science,1,True,False,False,PARTIAL_RENORMALIZED,1.0,,,1.0
sci_0269,Science,0,True,False,False,PARTIAL_RENORMALIZED,0.0135,,,0.0135
sci_0270,Science,1,True,False,False,PARTIAL_RENORMALIZED,0.4609,,,0.4609
sci_0271,Science,0,True,False,False,PARTIAL_RENORMALIZED,0.1,,,0.1
sci_0272,Science,1,True,False,False,PARTIAL_RENORMALIZED,1.0,,,1.0
sci_0273,Science,0,True,False,False,PARTIAL_RENORMALIZED,0.0135,,,0.0135
sci_0274,Science,1,True,False,False,PARTIAL_RENORMALIZED,0.4609,,,0.4609
sci_0275,Science,0,True,False,False,PARTIAL_RENORMALIZED,0.1,,,0.1
sci_0276,Science,1,True,False,False,PARTIAL_RENORMALIZED,1.0,,,1.0
sci_0277,Science,0,True,False,False,PARTIAL_RENORMALIZED,0.0135,,,0.0135
sci_0278,Science,1,True,False,False,PARTIAL_RENORMALIZED,0.4609,,,0.4609
sci_0279,Science,0,True,False,False,PARTIAL_RENORMALIZED,0.1,,,0.1
sci_0280,Science,1,True,False,False,PARTIAL_RENORMALIZED,1.0,,,1.0
sci_0281,Science,0,True,False,False,PARTIAL_RENORMALIZED,0.0135,,,0.0135
sci_0282,Science,1,True,False,False,PARTIAL_RENORMALIZED,0.4609,,,0.4609
sci_0283,Science,0,True,False,False,PARTIAL_RENORMALIZED,0.1,,,0.1
sci_0284,Science,1,True,False,False,PARTIAL_RENORMALIZED,1.0,,,1.0
sci_0285,Science,0,True,False,False,PARTIAL_RENORMALIZED,0.0135,,,0.0135
sci_0286,Science,1,True,False,False,PARTIAL_RENORMALIZED,0.4609,,,0.4609
sci_0287,Science,0,True,False,False,PARTIAL_RENORMALIZED,0.1,,,0.1
sci_0288,Science,1,True,False,False,PARTIAL_RENORMALIZED,1.0,,,1.0
sci_0289,Science,0,True,False,False,PARTIAL_RENORMALIZED,0.0135,,,0.0135
sci_0290,Science,1,True,False,False,PARTIAL_RENORMALIZED,0.4609,,,0.4609
sci_0291,Science,0,True,False,False,PARTIAL_RENORMALIZED,0.1,,,0.1
sci_0292,Science,1,True,False,False,PARTIAL_RENORMALIZED,1.0,,,1.0
sci_0293,Science,0,True,False,False,PARTIAL_RENORMALIZED,0.0135,,,0.0135
sci_0294,Science,1,True,False,False,PARTIAL_RENORMALIZED,0.4609,,,0.4609
sci_0295,Science,0,True,False,False,PARTIAL_RENORMALIZED,0.1,,,0.1
sci_0296,Science,1,True,False,False,PARTIAL_RENORMALIZED,1.0,,,1.0
sci_0297,Science,0,True,False,False,PARTIAL_RENORMALIZED,0.0135,,,0.0135
sci_0298,Science,1,True,False,False,PARTIAL_RENORMALIZED,0.4609,,,0.4609
sci_0299,Science,0,True,False,False,PARTIAL_RENORMALIZED,0.1,,,0.1
sci_0300,Science,1,True,False,False,PARTIAL_RENORMALIZED,1.0,,,1.0
com_0301,Computer Science,0,True,False,False,PARTIAL_RENORMALIZED,0.4999,,,0.4999
com_0302,Computer Science,1,True,False,False,PARTIAL_RENORMALIZED,0.9927,,,0.9927
com_0303,Computer Science,0,True,False,False,PARTIAL_RENORMALIZED,0.1125,,,0.1125
com_0304,Computer Science,1,True,False,False,PARTIAL_RENORMALIZED,0.15,,,0.15
com_0305,Computer Science,0,True,False,False,PARTIAL_RENORMALIZED,0.4999,,,0.4999
com_0306,Computer Science,1,True,False,False,PARTIAL_RENORMALIZED,0.9927,,,0.9927
com_0307,Computer Science,0,True,False,False,PARTIAL_RENORMALIZED,0.1125,,,0.1125
com_0308,Computer Science,1,True,False,False,PARTIAL_RENORMALIZED,0.15,,,0.15
com_0309,Computer Science,0,True,False,False,PARTIAL_RENORMALIZED,0.4999,,,0.4999
