Model,FPR,TPR,AUC
RAGAS,0.136,0.7253,0.8702
RAGAS,0.1467,0.7333,0.8702
RAGAS,0.1653,0.7413,0.8702
RAGAS,0.1893,0.752,0.8702
RAGAS,0.2027,0.7707,0.8702
RAGAS,0.2267,0.784,0.8702
RAGAS,0.2347,0.7973,0.8702
RAGAS,0.2427,0.8133,0.8702
RAGAS,0.2533,0.8187,0.8702
RAGAS,0.264,0.8373,0.8702
RAGAS,0.28,0.8507,0.8702
RAGAS,0.2907,0.864,0.8702
RAGAS,0.328,0.872,0.8702
RAGAS,0.3413,0.8827,0.8702
RAGAS,0.376,0.896,0.8702
RAGAS,0.3813,0.9067,0.8702
RAGAS,0.392,0.9147,0.8702
RAGAS,0.4133,0.9227,0.8702
RAGAS,0.4373,0.928,0.8702
RAGAS,0.4773,0.936,0.8702
RAGAS,0.512,0.9467,0.8702
RAGAS,0.5493,0.9653,0.8702
RAGAS,0.5707,0.9707,0.8702
RAGAS,0.6053,0.9787,0.8702
RAGAS,0.7547,0.984,0.8702
RAGAS,0.7733,0.9973,0.8702
TRUE,0.0,0.0,0.7889
TRUE,0.0053,0.04,0.7889
TRUE,0.0107,0.1173,0.7889
TRUE,0.0187,0.2027,0.7889
TRUE,0.024,0.24,0.7889
TRUE,0.0347,0.2507,0.7889
TRUE,0.0453,0.2933,0.7889
TRUE,0.0533,0.3067,0.7889
TRUE,0.0587,0.36,0.7889
TRUE,0.0667,0.368,0.7889
TRUE,0.0747,0.3867,0.7889
TRUE,0.0853,0.3947,0.7889
TRUE,0.0933,0.424,0.7889
TRUE,0.1093,0.4347,0.7889
TRUE,0.1173,0.448,0.7889
TRUE,0.1253,0.4827,0.7889
TRUE,0.1333,0.5013,0.7889
TRUE,0.1493,0.5067,0.7889
TRUE,0.1653,0.544,0.7889
TRUE,0.1733,0.5813,0.7889
TRUE,0.1787,0.5893,0.7889
TRUE,0.1893,0.5973,0.7889
TRUE,0.1973,0.624,0.7889
TRUE,0.2187,0.6373,0.7889
TRUE,0.2293,0.648,0.7889
TRUE,0.24,0.656,0.7889
TRUE,0.2453,0.6667,0.7889
TRUE,0.2533,0.672,0.7889
TRUE,0.2587,0.688,0.7889
TRUE,0.2667,0.7013,0.7889
TRUE,0.2907,0.728,0.7889
TRUE,0.3147,0.7413,0.7889
TRUE,0.328,0.76,0.7889
TRUE,0.3387,0.7707,0.7889
TRUE,0.3467,0.7787,0.7889
TRUE,0.3547,0.7893,0.7889
TRUE,0.3627,0.7973,0.7889
TRUE,0.384,0.8107,0.7889
TRUE,0.3947,0.8213,0.7889
TRUE,0.4107,0.8267,0.7889
TRUE,0.4187,0.8373,0.7889
TRUE,0.432,0.8427,0.7889
TRUE,0.4427,0.8507,0.7889
TRUE,0.456,0.856,0.7889
TRUE,0.4693,0.8667,0.7889
TRUE,0.512,0.8773,0.7889
TRUE,0.52,0.888,0.7889
TRUE,0.5333,0.8933,0.7889
TRUE,0.5653,0.904,0.7889
TRUE,0.592,0.912,0.7889
TRUE,0.6027,0.92,0.7889
TRUE,0.6507,0.928,0.7889
TRUE,0.6587,0.9387,0.7889
TRUE,0.68,0.944,0.7889
TRUE,0.736,0.9547,0.7889
TRUE,0.776,0.9627,0.7889
TRUE,0.784,0.9707,0.7889
TRUE,0.8453,0.9787,0.7889
TRUE,0.8667,0.9867,0.7889
TRUE,0.912,0.992,0.7889
TRUE,0.92,1.0,0.7889
AlignScore,0.0,0.0,0.8521
AlignScore,0.0053,0.1707,0.8521
AlignScore,0.0107,0.2453,0.8521
AlignScore,0.0187,0.3013,0.8521
AlignScore,0.024,0.344,0.8521
AlignScore,0.0347,0.384,0.8521
AlignScore,0.0427,0.4613,0.8521
AlignScore,0.0533,0.488,0.8521
AlignScore,0.0613,0.5173,0.8521
AlignScore,0.0693,0.528,0.8521
AlignScore,0.0773,0.5467,0.8521
AlignScore,0.088,0.5733,0.8521
AlignScore,0.1013,0.5893,0.8521
AlignScore,0.12,0.6053,0.8521
AlignScore,0.1307,0.6187,0.8521
AlignScore,0.1573,0.6347,0.8521
AlignScore,0.1653,0.6507,0.8521
AlignScore,0.1813,0.6827,0.8521
AlignScore,0.192,0.7013,0.8521
AlignScore,0.2027,0.7093,0.8521
AlignScore,0.208,0.7227,0.8521
AlignScore,0.2187,0.7333,0.8521
AlignScore,0.2267,0.7467,0.8521
AlignScore,0.2427,0.7653,0.8521
AlignScore,0.2667,0.776,0.8521
AlignScore,0.2827,0.7893,0.8521
AlignScore,0.2907,0.8027,0.8521
AlignScore,0.2987,0.8107,0.8521
AlignScore,0.304,0.8347,0.8521
AlignScore,0.3173,0.8427,0.8521
AlignScore,0.3227,0.856,0.8521
AlignScore,0.344,0.864,0.8521
AlignScore,0.3627,0.872,0.8521
AlignScore,0.3973,0.8773,0.8521
AlignScore,0.416,0.8987,0.8521
AlignScore,0.424,0.904,0.8521
AlignScore,0.44,0.92,0.8521
AlignScore,0.4533,0.9253,0.8521
AlignScore,0.464,0.9333,0.8521
AlignScore,0.52,0.944,0.8521
AlignScore,0.576,0.9547,0.8521
AlignScore,0.6213,0.96,0.8521
AlignScore,0.6613,0.9707,0.8521
AlignScore,0.76,0.9787,0.8521
AlignScore,0.7893,0.992,0.8521
AlignScore,0.872,0.9973,0.8521
FactScore,0.0,0.0,0.8813
FactScore,0.0053,0.0773,0.8813
FactScore,0.0107,0.256,0.8813
FactScore,0.0187,0.344,0.8813
FactScore,0.024,0.384,0.8813
FactScore,0.032,0.4373,0.8813
FactScore,0.0373,0.4693,0.8813
FactScore,0.0453,0.4747,0.8813
FactScore,0.0507,0.56,0.8813
FactScore,0.064,0.6,0.8813
FactScore,0.0747,0.6213,0.8813
FactScore,0.0853,0.64,0.8813
FactScore,0.0907,0.648,0.8813
FactScore,0.104,0.664,0.8813
FactScore,0.1147,0.6747,0.8813
FactScore,0.128,0.688,0.8813
FactScore,0.1333,0.704,0.8813
FactScore,0.144,0.7147,0.8813
FactScore,0.1493,0.728,0.8813
FactScore,0.1733,0.7413,0.8813
FactScore,0.1867,0.76,0.8813
FactScore,0.208,0.7867,0.8813
FactScore,0.216,0.8,0.8813
FactScore,0.24,0.808,0.8813
FactScore,0.2453,0.8293,0.8813
FactScore,0.2613,0.8453,0.8813
FactScore,0.272,0.8587,0.8813
FactScore,0.3093,0.8667,0.8813
FactScore,0.3173,0.8773,0.8813
FactScore,0.328,0.888,0.8813
FactScore,0.3547,0.8987,0.8813
FactScore,0.384,0.904,0.8813
FactScore,0.4,0.9173,0.8813
FactScore,0.432,0.9253,0.8813
FactScore,0.4373,0.9333,0.8813
FactScore,0.472,0.9387,0.8813
FactScore,0.4773,0.952,0.8813
FactScore,0.5253,0.96,0.8813
FactScore,0.5307,0.9707,0.8813
FactScore,0.6053,0.9787,0.8813
FactScore,0.6853,0.992,0.8813
FactScore,0.8533,0.9973,0.8813
Pure Retrieval,0.0,0.0,0.7196
Pure Retrieval,0.0053,0.0507,0.7196
Pure Retrieval,0.0133,0.08,0.7196
Pure Retrieval,0.024,0.0853,0.7196
Pure Retrieval,0.0293,0.0987,0.7196
Pure Retrieval,0.0373,0.1387,0.7196
Pure Retrieval,0.0507,0.1493,0.7196
Pure Retrieval,0.0587,0.1627,0.7196
Pure Retrieval,0.064,0.208,0.7196
Pure Retrieval,0.0773,0.2213,0.7196
Pure Retrieval,0.0853,0.2587,0.7196
Pure Retrieval,0.0933,0.2933,0.7196
Pure Retrieval,0.0987,0.3867,0.7196
Pure Retrieval,0.112,0.392,0.7196
Pure Retrieval,0.1227,0.4027,0.7196
Pure Retrieval,0.1467,0.448,0.7196
Pure Retrieval,0.1547,0.4587,0.7196
Pure Retrieval,0.1653,0.464,0.7196
Pure Retrieval,0.1733,0.504,0.7196
Pure Retrieval,0.1947,0.5253,0.7196
Pure Retrieval,0.2053,0.5387,0.7196
Pure Retrieval,0.2187,0.544,0.7196
Pure Retrieval,0.2267,0.568,0.7196
Pure Retrieval,0.2507,0.576,0.7196
Pure Retrieval,0.2667,0.592,0.7196
Pure Retrieval,0.28,0.608,0.7196
Pure Retrieval,0.2933,0.6213,0.7196
Pure Retrieval,0.3067,0.6293,0.7196
Pure Retrieval,0.3173,0.6373,0.7196
Pure Retrieval,0.3387,0.6427,0.7196
Pure Retrieval,0.352,0.656,0.7196
Pure Retrieval,0.3707,0.6693,0.7196
Pure Retrieval,0.384,0.6827,0.7196
Pure Retrieval,0.3947,0.6933,0.7196
Pure Retrieval,0.4,0.712,0.7196
Pure Retrieval,0.4267,0.7227,0.7196
Pure Retrieval,0.4347,0.736,0.7196
Pure Retrieval,0.4453,0.7493,0.7196
Pure Retrieval,0.464,0.7573,0.7196
Pure Retrieval,0.4747,0.7627,0.7196
Pure Retrieval,0.4827,0.7733,0.7196
Pure Retrieval,0.5067,0.784,0.7196
Pure Retrieval,0.5253,0.7947,0.7196
Pure Retrieval,0.5467,0.8213,0.7196
Pure Retrieval,0.5573,0.832,0.7196
Pure Retrieval,0.5813,0.8373,0.7196
Pure Retrieval,0.592,0.8453,0.7196
Pure Retrieval,0.6,0.8533,0.7196
Pure Retrieval,0.616,0.8667,0.7196
Pure Retrieval,0.64,0.8773,0.7196
Pure Retrieval,0.6533,0.8853,0.7196
Pure Retrieval,0.6827,0.8907,0.7196
Pure Retrieval,0.6933,0.904,0.7196
Pure Retrieval,0.7173,0.92,0.7196
Pure Retrieval,0.7307,0.9307,0.7196
Pure Retrieval,0.7707,0.9387,0.7196
Pure Retrieval,0.8,0.952,0.7196
Pure Retrieval,0.8213,0.96,0.7196
Pure Retrieval,0.8533,0.9707,0.7196
Pure Retrieval,0.896,0.976,0.7196
Pure Retrieval,0.912,0.984,0.7196
Pure Retrieval,0.9547,0.992,0.7196
Pure Retrieval,0.976,1.0,0.7196
Pure CrossEncoder,0.0,0.0,0.7722
Pure CrossEncoder,0.0053,0.1253,0.7722
Pure CrossEncoder,0.0107,0.1653,0.7722
Pure CrossEncoder,0.0187,0.1787,0.7722
Pure CrossEncoder,0.0293,0.1973,0.7722
Pure CrossEncoder,0.0373,0.2267,0.7722
Pure CrossEncoder,0.0427,0.2853,0.7722
Pure CrossEncoder,0.0507,0.32,0.7722
Pure CrossEncoder,0.056,0.3573,0.7722
Pure CrossEncoder,0.0667,0.376,0.7722
Pure CrossEncoder,0.072,0.384,0.7722
Pure CrossEncoder,0.0853,0.4027,0.7722
Pure CrossEncoder,0.0907,0.4213,0.7722
Pure CrossEncoder,0.1067,0.432,0.7722
Pure CrossEncoder,0.12,0.4453,0.7722
Pure CrossEncoder,0.1307,0.456,0.7722
Pure CrossEncoder,0.1387,0.4693,0.7722
Pure CrossEncoder,0.152,0.4827,0.7722
Pure CrossEncoder,0.168,0.496,0.7722
Pure CrossEncoder,0.176,0.512,0.7722
Pure CrossEncoder,0.184,0.5333,0.7722
Pure CrossEncoder,0.192,0.544,0.7722
Pure CrossEncoder,0.208,0.5733,0.7722
Pure CrossEncoder,0.216,0.5867,0.7722
Pure CrossEncoder,0.224,0.6,0.7722
Pure CrossEncoder,0.232,0.6133,0.7722
Pure CrossEncoder,0.2373,0.6507,0.7722
Pure CrossEncoder,0.2453,0.664,0.7722
Pure CrossEncoder,0.2613,0.6747,0.7722
Pure CrossEncoder,0.2693,0.68,0.7722
Pure CrossEncoder,0.2747,0.696,0.7722
Pure CrossEncoder,0.2907,0.7067,0.7722
Pure CrossEncoder,0.312,0.728,0.7722
Pure CrossEncoder,0.32,0.736,0.7722
Pure CrossEncoder,0.3307,0.752,0.7722
Pure CrossEncoder,0.3467,0.76,0.7722
Pure CrossEncoder,0.3627,0.7707,0.7722
Pure CrossEncoder,0.3787,0.7787,0.7722
Pure CrossEncoder,0.384,0.7893,0.7722
Pure CrossEncoder,0.4133,0.7947,0.7722
Pure CrossEncoder,0.424,0.8053,0.7722
Pure CrossEncoder,0.4347,0.816,0.7722
Pure CrossEncoder,0.4507,0.8267,0.7722
Pure CrossEncoder,0.4853,0.832,0.7722
Pure CrossEncoder,0.528,0.84,0.7722
Pure CrossEncoder,0.5573,0.848,0.7722
Pure CrossEncoder,0.576,0.8587,0.7722
Pure CrossEncoder,0.5893,0.864,0.7722
Pure CrossEncoder,0.6,0.8853,0.7722
Pure CrossEncoder,0.6107,0.9013,0.7722
Pure CrossEncoder,0.624,0.9093,0.7722
Pure CrossEncoder,0.6453,0.9253,0.7722
Pure CrossEncoder,0.68,0.936,0.7722
Pure CrossEncoder,0.7013,0.944,0.7722
Pure CrossEncoder,0.7093,0.9547,0.7722
Pure CrossEncoder,0.7413,0.96,0.7722
Pure CrossEncoder,0.784,0.9707,0.7722
Pure CrossEncoder,0.824,0.976,0.7722
Pure CrossEncoder,0.8427,0.9867,0.7722
Pure CrossEncoder,0.8987,0.992,0.7722
Pure CrossEncoder,0.9387,1.0,0.7722
Pure NLI,0.0,0.0,0.8023
Pure NLI,0.0053,0.0933,0.8023
Pure NLI,0.0107,0.1547,0.8023
Pure NLI,0.0187,0.2053,0.8023
Pure NLI,0.024,0.2373,0.8023
Pure NLI,0.032,0.2747,0.8023
Pure NLI,0.0373,0.3227,0.8023
Pure NLI,0.0507,0.3387,0.8023
Pure NLI,0.0613,0.3787,0.8023
Pure NLI,0.072,0.4187,0.8023
Pure NLI,0.0773,0.44,0.8023
Pure NLI,0.088,0.4453,0.8023
Pure NLI,0.1013,0.4667,0.8023
Pure NLI,0.1147,0.488,0.8023
Pure NLI,0.12,0.5147,0.8023
Pure NLI,0.1307,0.5253,0.8023
Pure NLI,0.136,0.544,0.8023
Pure NLI,0.1467,0.5573,0.8023
Pure NLI,0.1573,0.5707,0.8023
Pure NLI,0.1707,0.584,0.8023
Pure NLI,0.176,0.6,0.8023
Pure NLI,0.1947,0.6187,0.8023
Pure NLI,0.2,0.6293,0.8023
Pure NLI,0.2133,0.6507,0.8023
Pure NLI,0.2213,0.6667,0.8023
Pure NLI,0.232,0.6827,0.8023
Pure NLI,0.2373,0.6987,0.8023
Pure NLI,0.256,0.712,0.8023
Pure NLI,0.2667,0.736,0.8023
Pure NLI,0.2853,0.744,0.8023
Pure NLI,0.2987,0.7627,0.8023
Pure NLI,0.3093,0.7787,0.8023
Pure NLI,0.3253,0.7893,0.8023
Pure NLI,0.3387,0.7947,0.8023
Pure NLI,0.3547,0.8053,0.8023
Pure NLI,0.3733,0.8107,0.8023
Pure NLI,0.3813,0.8267,0.8023
Pure NLI,0.3893,0.832,0.8023
Pure NLI,0.408,0.8427,0.8023
Pure NLI,0.4347,0.848,0.8023
Pure NLI,0.4427,0.856,0.8023
Pure NLI,0.4773,0.864,0.8023
Pure NLI,0.4933,0.88,0.8023
Pure NLI,0.528,0.888,0.8023
Pure NLI,0.5573,0.904,0.8023
Pure NLI,0.5733,0.9093,0.8023
Pure NLI,0.5867,0.928,0.8023
Pure NLI,0.6667,0.9333,0.8023
Pure NLI,0.6827,0.944,0.8023
Pure NLI,0.7067,0.9493,0.8023
Pure NLI,0.7493,0.9627,0.8023
Pure NLI,0.7893,0.968,0.8023
Pure NLI,0.8027,0.976,0.8023
Pure NLI,0.8373,0.9813,0.8023
Pure NLI,0.8613,0.992,0.8023
Pure NLI,0.9653,0.9973,0.8023
HalluciSense,0.0,0.0,0.9501
HalluciSense,0.0053,0.3867,0.9501
HalluciSense,0.0107,0.5147,0.9501
HalluciSense,0.0187,0.5813,0.9501
HalluciSense,0.0267,0.6293,0.9501
HalluciSense,0.04,0.6533,0.9501
HalluciSense,0.048,0.76,0.9501
HalluciSense,0.056,0.7707,0.9501
HalluciSense,0.0613,0.816,0.9501
HalluciSense,0.0693,0.824,0.9501
HalluciSense,0.08,0.8427,0.9501
HalluciSense,0.1067,0.8533,0.9501
HalluciSense,0.112,0.864,0.9501
HalluciSense,0.128,0.88,0.9501
HalluciSense,0.1413,0.888,0.9501
HalluciSense,0.16,0.896,0.9501
HalluciSense,0.168,0.9147,0.9501
HalluciSense,0.184,0.9227,0.9501
HalluciSense,0.1947,0.9333,0.9501
HalluciSense,0.2107,0.9387,0.9501
HalluciSense,0.2453,0.9467,0.9501
HalluciSense,0.2693,0.952,0.9501
HalluciSense,0.2933,0.9653,0.9501
HalluciSense,0.3547,0.9733,0.9501
HalluciSense,0.3893,0.9813,0.9501
HalluciSense,0.4187,0.9867,0.9501
HalluciSense,0.5067,0.9947,0.9501
HalluciSense,0.9947,1.0,0.9501
