sample_id,fusion_mode,p1_score,p2_score,p3_score,predicted_h_score,reconstructed_h_score,fusion_absolute_error
gen_0047,PARTIAL_RENORMALIZED,0.1056,,0.0845,0.0981,0.0981,0.0
gen_0048,PARTIAL_RENORMALIZED,1.0,,0.2239,0.7229,0.7229,0.0
gen_0049,PARTIAL_RENORMALIZED,0.0024,,0.0001,0.0016,0.0016,0.0
gen_0050,PARTIAL_RENORMALIZED,0.05,,0.0402,0.0465,0.0465,0.0
med_0051,PARTIAL_RENORMALIZED,0.379,,0.0718,0.2693,0.2693,0.0
med_0052,PARTIAL_RENORMALIZED,0.0,,0.098,0.035,0.035,0.0
med_0053,PARTIAL_RENORMALIZED,0.0,,0.0858,0.0306,0.0306,0.0
med_0054,PARTIAL_RENORMALIZED,0.0,,0.1682,0.0601,0.0601,0.0
med_0055,PARTIAL_RENORMALIZED,0.4961,,0.0729,0.345,0.345,0.0
med_0056,PARTIAL_RENORMALIZED,0.0,,0.1337,0.0477,0.0477,0.0
med_0057,PARTIAL_RENORMALIZED,0.4045,,0.1235,0.3042,0.3042,0.0
med_0058,PARTIAL_RENORMALIZED,1.0,,0.0568,0.6632,0.6632,0.0
med_0059,PARTIAL_RENORMALIZED,0.5002,,0.1115,0.3614,0.3614,0.0
med_0060,PARTIAL_RENORMALIZED,0.0,,0.1085,0.0387,0.0387,0.0
med_0061,PARTIAL_RENORMALIZED,0.4121,,0.1438,0.3163,0.3163,0.0
med_0062,PARTIAL_RENORMALIZED,0.0,,0.0541,0.0193,0.0193,0.0
med_0063,PARTIAL_RENORMALIZED,0.4678,,0.1977,0.3713,0.3713,0.0
med_0064,PARTIAL_RENORMALIZED,0.0,,0.0889,0.0317,0.0317,0.0
med_0065,PARTIAL_RENORMALIZED,0.3492,,0.1303,0.271,0.271,0.0
med_0066,PARTIAL_RENORMALIZED,1.0,,0.1928,0.7117,0.7117,0.0
med_0067,PARTIAL_RENORMALIZED,0.5002,,0.0696,0.3464,0.3464,0.0
med_0068,PARTIAL_RENORMALIZED,0.0,,0.0951,0.034,0.034,0.0
med_0069,PARTIAL_RENORMALIZED,0.0433,,0.0704,0.053,0.053,0.0
med_0070,PARTIAL_RENORMALIZED,0.0,,0.1625,0.058,0.058,0.0
med_0071,PARTIAL_RENORMALIZED,0.6807,,0.3453,0.5609,0.5609,0.0
med_0072,PARTIAL_RENORMALIZED,0.4998,,0.226,0.402,0.402,0.0
med_0073,PARTIAL_RENORMALIZED,0.0,,0.0974,0.0348,0.0348,0.0
med_0074,PARTIAL_RENORMALIZED,0.0,,0.049,0.0175,0.0175,0.0
med_0075,PARTIAL_RENORMALIZED,0.4701,,0.0844,0.3324,0.3324,0.0
med_0076,PARTIAL_RENORMALIZED,0.0,,0.0967,0.0345,0.0345,0.0
med_0077,PARTIAL_RENORMALIZED,0.4026,,0.072,0.2845,0.2845,0.0
med_0078,PARTIAL_RENORMALIZED,1.0,,0.0276,0.6528,0.6528,0.0
med_0079,PARTIAL_RENORMALIZED,0.5003,,0.1268,0.3669,0.3669,0.0
med_0080,PARTIAL_RENORMALIZED,0.0,,0.0853,0.0305,0.0305,0.0
med_0081,PARTIAL_RENORMALIZED,0.4997,,0.0931,0.3545,0.3545,0.0
med_0082,PARTIAL_RENORMALIZED,1.0,,0.0678,0.6671,0.6671,0.0
med_0083,PARTIAL_RENORMALIZED,0.5516,,0.0992,0.39,0.39,0.0
med_0084,PARTIAL_RENORMALIZED,0.0,,0.0778,0.0278,0.0278,0.0
med_0085,PARTIAL_RENORMALIZED,0.5033,,0.1036,0.3606,0.3606,0.0
med_0086,PARTIAL_RENORMALIZED,1.0,,0.0459,0.6593,0.6593,0.0
med_0087,PARTIAL_RENORMALIZED,0.3745,,0.1057,0.2785,0.2785,0.0
med_0088,PARTIAL_RENORMALIZED,0.0,,0.1145,0.0409,0.0409,0.0
med_0089,PARTIAL_RENORMALIZED,0.5003,,0.1674,0.3814,0.3814,0.0
med_0090,PARTIAL_RENORMALIZED,0.0,,0.1417,0.0506,0.0506,0.0
med_0091,PARTIAL_RENORMALIZED,0.1603,,0.1329,0.1505,0.1505,0.0
med_0092,PARTIAL_RENORMALIZED,0.0,,0.3165,0.113,0.113,0.0
med_0093,PARTIAL_RENORMALIZED,0.4998,,0.1239,0.3656,0.3656,0.0
med_0094,PARTIAL_RENORMALIZED,0.0,,0.3136,0.112,0.112,0.0
med_0095,PARTIAL_RENORMALIZED,0.295,,0.1442,0.2411,0.2411,0.0
med_0096,PARTIAL_RENORMALIZED,0.0,,0.0864,0.0309,0.0309,0.0
med_0097,PARTIAL_RENORMALIZED,0.0,,0.1126,0.0402,0.0402,0.0
med_0098,PARTIAL_RENORMALIZED,0.0,,0.0404,0.0144,0.0144,0.0
med_0099,PARTIAL_RENORMALIZED,0.4986,,0.105,0.358,0.358,0.0
med_0100,PARTIAL_RENORMALIZED,0.0,,0.1128,0.0403,0.0403,0.0
law_0101,PARTIAL_RENORMALIZED,0.0,,0.0904,0.0323,0.0323,0.0
law_0102,PARTIAL_RENORMALIZED,0.5005,,0.1609,0.3792,0.3792,0.0
law_0103,PARTIAL_RENORMALIZED,0.337,,0.0701,0.2417,0.2417,0.0
law_0104,PARTIAL_RENORMALIZED,0.6633,,0.2709,0.5232,0.5232,0.0
law_0105,PARTIAL_RENORMALIZED,0.0,,0.1035,0.037,0.037,0.0
law_0106,PARTIAL_RENORMALIZED,0.5005,,0.2091,0.3964,0.3964,0.0
law_0107,PARTIAL_RENORMALIZED,0.4991,,0.1822,0.3859,0.3859,0.0
law_0108,PARTIAL_RENORMALIZED,0.0,,0.0556,0.0199,0.0199,0.0
law_0109,PARTIAL_RENORMALIZED,0.0,,0.212,0.0757,0.0757,0.0
law_0110,PARTIAL_RENORMALIZED,0.4996,,0.2789,0.4208,0.4208,0.0
law_0111,PARTIAL_RENORMALIZED,0.4416,,0.0781,0.3118,0.3118,0.0
law_0112,PARTIAL_RENORMALIZED,0.5372,,0.1987,0.4163,0.4163,0.0
law_0113,PARTIAL_RENORMALIZED,0.3966,,0.1945,0.3244,0.3244,0.0
law_0114,PARTIAL_RENORMALIZED,0.0,,0.1741,0.0622,0.0622,0.0
law_0115,PARTIAL_RENORMALIZED,0.0,,0.1028,0.0367,0.0367,0.0
law_0116,PARTIAL_RENORMALIZED,0.3113,,0.1469,0.2526,0.2526,0.0
law_0117,PARTIAL_RENORMALIZED,0.7916,,0.1094,0.548,0.548,0.0
law_0118,PARTIAL_RENORMALIZED,0.5009,,0.3759,0.4563,0.4563,0.0
law_0119,PARTIAL_RENORMALIZED,0.5001,,0.0723,0.3473,0.3473,0.0
law_0120,PARTIAL_RENORMALIZED,0.0,,0.0663,0.0237,0.0237,0.0
law_0121,PARTIAL_RENORMALIZED,0.45,,0.1042,0.3265,0.3265,0.0
law_0122,PARTIAL_RENORMALIZED,0.4996,,0.2528,0.4115,0.4115,0.0
law_0123,PARTIAL_RENORMALIZED,0.4429,,0.0661,0.3083,0.3083,0.0
law_0124,PARTIAL_RENORMALIZED,0.0,,0.0607,0.0217,0.0217,0.0
law_0125,PARTIAL_RENORMALIZED,0.0,,0.1015,0.0362,0.0362,0.0
law_0126,PARTIAL_RENORMALIZED,0.5014,,0.2875,0.425,0.425,0.0
law_0127,PARTIAL_RENORMALIZED,0.3518,,0.187,0.2929,0.2929,0.0
law_0128,PARTIAL_RENORMALIZED,0.0,,0.0453,0.0162,0.0162,0.0
law_0129,PARTIAL_RENORMALIZED,0.0,,0.0683,0.0244,0.0244,0.0
law_0130,PARTIAL_RENORMALIZED,0.4997,,0.242,0.4077,0.4077,0.0
law_0131,PARTIAL_RENORMALIZED,0.0,,0.0954,0.0341,0.0341,0.0
law_0132,PARTIAL_RENORMALIZED,0.0,,0.152,0.0543,0.0543,0.0
law_0133,PARTIAL_RENORMALIZED,0.0,,0.3029,0.1082,0.1082,0.0
law_0134,PARTIAL_RENORMALIZED,0.0,,0.2572,0.0918,0.0918,0.0
law_0135,PARTIAL_RENORMALIZED,0.0,,0.0873,0.0312,0.0312,0.0
law_0136,PARTIAL_RENORMALIZED,0.0,,0.0393,0.014,0.014,0.0
law_0137,PARTIAL_RENORMALIZED,0.0,,0.1746,0.0623,0.0623,0.0
law_0138,PARTIAL_RENORMALIZED,0.349,,0.2425,0.311,0.311,0.0
law_0139,PARTIAL_RENORMALIZED,0.3762,,0.0678,0.2661,0.2661,0.0
law_0140,PARTIAL_RENORMALIZED,0.1519,,0.158,0.1541,0.1541,0.0
law_0141,PARTIAL_RENORMALIZED,0.7496,,0.1021,0.5184,0.5184,0.0
law_0142,PARTIAL_RENORMALIZED,0.0,,0.4444,0.1587,0.1587,0.0
law_0143,PARTIAL_RENORMALIZED,0.0,,0.0637,0.0227,0.0227,0.0
law_0144,PARTIAL_RENORMALIZED,0.0,,0.0586,0.0209,0.0209,0.0
law_0145,PARTIAL_RENORMALIZED,0.3896,,0.0757,0.2775,0.2775,0.0
law_0146,PARTIAL_RENORMALIZED,0.3521,,0.1812,0.2911,0.2911,0.0
law_0147,PARTIAL_RENORMALIZED,0.0,,0.1878,0.0671,0.0671,0.0
law_0148,PARTIAL_RENORMALIZED,0.0,,0.2639,0.0942,0.0942,0.0
law_0149,PARTIAL_RENORMALIZED,0.4587,,0.1771,0.3581,0.3581,0.0
law_0150,PARTIAL_RENORMALIZED,0.4908,,0.2099,0.3905,0.3905,0.0
fin_0151,PARTIAL_RENORMALIZED,0.4943,,0.0587,0.3387,0.3387,0.0
fin_0152,PARTIAL_RENORMALIZED,0.4993,,0.1007,0.357,0.357,0.0
fin_0153,PARTIAL_RENORMALIZED,0.0,,0.0834,0.0298,0.0298,0.0
fin_0154,PARTIAL_RENORMALIZED,0.0,,0.1749,0.0625,0.0625,0.0
fin_0155,PARTIAL_RENORMALIZED,0.4967,,0.0515,0.3377,0.3377,0.0
fin_0156,PARTIAL_RENORMALIZED,0.4988,,0.0692,0.3454,0.3454,0.0
fin_0157,PARTIAL_RENORMALIZED,0.4834,,,0.4834,0.4834,0.0
fin_0158,PARTIAL_RENORMALIZED,0.0,,0.1093,0.039,0.039,0.0
fin_0159,PARTIAL_RENORMALIZED,0.4973,,0.1656,0.3788,0.3788,0.0
fin_0160,PARTIAL_RENORMALIZED,0.4187,,0.3136,0.3812,0.3812,0.0
fin_0161,PARTIAL_RENORMALIZED,0.0,,0.0833,0.0297,0.0297,0.0
fin_0162,PARTIAL_RENORMALIZED,0.0,,0.1168,0.0417,0.0417,0.0
fin_0163,PARTIAL_RENORMALIZED,0.3714,,0.0858,0.2694,0.2694,0.0
fin_0164,PARTIAL_RENORMALIZED,0.5559,,0.4391,0.5142,0.5142,0.0
fin_0165,PARTIAL_RENORMALIZED,0.0,,,0.0,0.0,0.0
fin_0166,PARTIAL_RENORMALIZED,0.0,,0.1303,0.0465,0.0465,0.0
fin_0167,PARTIAL_RENORMALIZED,0.4583,,0.1721,0.3561,0.3561,0.0
fin_0168,PARTIAL_RENORMALIZED,0.4998,,0.063,0.3438,0.3438,0.0
fin_0169,PARTIAL_RENORMALIZED,0.0,,0.0828,0.0296,0.0296,0.0
fin_0170,PARTIAL_RENORMALIZED,0.0,,0.1224,0.0437,0.0437,0.0
fin_0171,PARTIAL_RENORMALIZED,0.0,,0.0791,0.0282,0.0282,0.0
fin_0172,PARTIAL_RENORMALIZED,0.4997,,0.1021,0.3577,0.3577,0.0
fin_0173,PARTIAL_RENORMALIZED,0.4744,,,0.4744,0.4744,0.0
fin_0174,PARTIAL_RENORMALIZED,0.0,,0.0994,0.0355,0.0355,0.0
fin_0175,PARTIAL_RENORMALIZED,0.4418,,0.0788,0.3122,0.3122,0.0
fin_0176,PARTIAL_RENORMALIZED,0.0,,0.3004,0.1073,0.1073,0.0
fin_0177,PARTIAL_RENORMALIZED,0.0,,,0.0,0.0,0.0
fin_0178,PARTIAL_RENORMALIZED,0.0,,0.1087,0.0388,0.0388,0.0
fin_0179,PARTIAL_RENORMALIZED,0.3306,,0.0819,0.2418,0.2418,0.0
fin_0180,PARTIAL_RENORMALIZED,0.4998,,0.3092,0.4317,0.4317,0.0
fin_0181,PARTIAL_RENORMALIZED,0.4606,,,0.4606,0.4606,0.0
fin_0182,PARTIAL_RENORMALIZED,0.0,,0.0736,0.0263,0.0263,0.0
fin_0183,PARTIAL_RENORMALIZED,0.0,,0.0753,0.0269,0.0269,0.0
fin_0184,PARTIAL_RENORMALIZED,0.5,,0.0715,0.347,0.347,0.0
fin_0185,PARTIAL_RENORMALIZED,0.0,,0.042,0.015,0.015,0.0
fin_0186,PARTIAL_RENORMALIZED,0.0,,0.0999,0.0357,0.0357,0.0
fin_0187,PARTIAL_RENORMALIZED,0.4957,,0.0682,0.343,0.343,0.0
fin_0188,PARTIAL_RENORMALIZED,0.4971,,0.0923,0.3525,0.3525,0.0
fin_0189,PARTIAL_RENORMALIZED,0.0,,0.0683,0.0244,0.0244,0.0
fin_0190,PARTIAL_RENORMALIZED,0.0,,0.1344,0.048,0.048,0.0
fin_0191,PARTIAL_RENORMALIZED,0.3356,,0.154,0.2708,0.2708,0.0
fin_0192,PARTIAL_RENORMALIZED,0.0,,0.1098,0.0392,0.0392,0.0
fin_0193,PARTIAL_RENORMALIZED,0.0,,0.0509,0.0182,0.0182,0.0
fin_0194,PARTIAL_RENORMALIZED,0.0,,0.0946,0.0338,0.0338,0.0
fin_0195,PARTIAL_RENORMALIZED,0.4897,,0.1028,0.3515,0.3515,0.0
fin_0196,PARTIAL_RENORMALIZED,0.4664,,0.0532,0.3188,0.3188,0.0
fin_0197,PARTIAL_RENORMALIZED,0.0,,0.0592,0.0211,0.0211,0.0
fin_0198,PARTIAL_RENORMALIZED,0.4058,,0.1148,0.3019,0.3019,0.0
fin_0199,PARTIAL_RENORMALIZED,0.0,,0.0282,0.0101,0.0101,0.0
fin_0200,PARTIAL_RENORMALIZED,0.4989,,0.0873,0.3519,0.3519,0.0
his_0201,PARTIAL_RENORMALIZED,0.1333,,0.0003,0.0858,0.0858,0.0
his_0202,PARTIAL_RENORMALIZED,0.5018,,0.6486,0.5542,0.5542,0.0
his_0203,PARTIAL_RENORMALIZED,0.9996,,0.2127,0.7186,0.7186,0.0
his_0204,PARTIAL_RENORMALIZED,0.006,,0.0498,0.0216,0.0216,0.0
his_0205,PARTIAL_RENORMALIZED,0.0147,,0.411,0.1562,0.1562,0.0
his_0206,PARTIAL_RENORMALIZED,0.338,,0.2489,0.3062,0.3062,0.0
his_0207,PARTIAL_RENORMALIZED,0.9985,,0.3937,0.7825,0.7825,0.0
his_0208,PARTIAL_RENORMALIZED,0.9,,0.0363,0.5916,0.5916,0.0
his_0209,PARTIAL_RENORMALIZED,0.1594,,0.4561,0.2654,0.2654,0.0
his_0210,PARTIAL_RENORMALIZED,0.5032,,0.6069,0.5402,0.5402,0.0
his_0211,PARTIAL_RENORMALIZED,0.891,,0.3164,0.6858,0.6858,0.0
his_0212,PARTIAL_RENORMALIZED,0.0036,,0.0806,0.0311,0.0311,0.0
his_0213,PARTIAL_RENORMALIZED,0.1333,,0.0474,0.1026,0.1026,0.0
his_0214,PARTIAL_RENORMALIZED,0.0,,0.5903,0.2108,0.2108,0.0
his_0215,PARTIAL_RENORMALIZED,0.9457,,0.1979,0.6787,0.6787,0.0
his_0216,PARTIAL_RENORMALIZED,0.0148,,0.0652,0.0328,0.0328,0.0
his_0217,PARTIAL_RENORMALIZED,0.1333,,0.0003,0.0858,0.0858,0.0
his_0218,PARTIAL_RENORMALIZED,0.3378,,0.1091,0.2561,0.2561,0.0
his_0219,PARTIAL_RENORMALIZED,0.1125,,0.4355,0.2278,0.2278,0.0
his_0220,PARTIAL_RENORMALIZED,0.9,,0.0562,0.5987,0.5987,0.0
his_0221,PARTIAL_RENORMALIZED,0.1333,,0.0003,0.0858,0.0858,0.0
his_0222,PARTIAL_RENORMALIZED,0.1611,,0.1059,0.1414,0.1414,0.0
his_0223,PARTIAL_RENORMALIZED,0.999,,0.504,0.8222,0.8222,0.0
his_0224,PARTIAL_RENORMALIZED,0.5155,,0.0889,0.3632,0.3632,0.0
his_0225,PARTIAL_RENORMALIZED,0.303,,0.084,0.2248,0.2248,0.0
his_0226,PARTIAL_RENORMALIZED,0.175,,0.2542,0.2033,0.2033,0.0
his_0227,PARTIAL_RENORMALIZED,0.0917,,0.2817,0.1595,0.1595,0.0
his_0228,PARTIAL_RENORMALIZED,0.006,,0.036,0.0167,0.0167,0.0
his_0229,PARTIAL_RENORMALIZED,0.1125,,0.0179,0.0787,0.0787,0.0
his_0230,PARTIAL_RENORMALIZED,0.0,,0.112,0.04,0.04,0.0
his_0231,PARTIAL_RENORMALIZED,0.5,,0.4139,0.4693,0.4693,0.0
his_0232,PARTIAL_RENORMALIZED,0.0058,,0.0656,0.0272,0.0272,0.0
his_0233,PARTIAL_RENORMALIZED,0.1333,,0.0564,0.1058,0.1058,0.0
his_0234,PARTIAL_RENORMALIZED,0.3091,,0.2061,0.2723,0.2723,0.0
his_0235,PARTIAL_RENORMALIZED,0.05,,0.0809,0.061,0.061,0.0
his_0236,PARTIAL_RENORMALIZED,0.006,,0.0336,0.0159,0.0159,0.0
his_0237,PARTIAL_RENORMALIZED,0.9916,,0.1928,0.7063,0.7063,0.0
his_0238,PARTIAL_RENORMALIZED,0.0,,0.603,0.2153,0.2153,0.0
his_0239,PARTIAL_RENORMALIZED,0.1333,,0.0767,0.1131,0.1131,0.0
his_0240,PARTIAL_RENORMALIZED,0.9,,0.0511,0.5969,0.5969,0.0
his_0241,PARTIAL_RENORMALIZED,0.0759,,0.4122,0.196,0.196,0.0
his_0242,PARTIAL_RENORMALIZED,0.1027,,0.8325,0.3633,0.3633,0.0
his_0243,PARTIAL_RENORMALIZED,0.1125,,0.0694,0.0971,0.0971,0.0
his_0244,PARTIAL_RENORMALIZED,0.3354,,0.0878,0.247,0.247,0.0
his_0245,PARTIAL_RENORMALIZED,0.0813,,0.1329,0.0997,0.0997,0.0
his_0246,PARTIAL_RENORMALIZED,0.5442,,0.2888,0.453,0.453,0.0
his_0247,PARTIAL_RENORMALIZED,0.7498,,0.0802,0.5107,0.5107,0.0
his_0248,PARTIAL_RENORMALIZED,0.0,,0.066,0.0236,0.0236,0.0
his_0249,PARTIAL_RENORMALIZED,0.9994,,0.0834,0.6723,0.6723,0.0
his_0250,PARTIAL_RENORMALIZED,0.5775,,0.2141,0.4477,0.4477,0.0
sci_0251,PARTIAL_RENORMALIZED,0.8339,,0.3243,0.6519,0.6519,0.0
sci_0252,PARTIAL_RENORMALIZED,1.0,,0.1795,0.707,0.707,0.0
sci_0253,PARTIAL_RENORMALIZED,0.1242,,0.0697,0.1047,0.1047,0.0
sci_0254,PARTIAL_RENORMALIZED,0.5,,0.0389,0.3353,0.3353,0.0
sci_0255,PARTIAL_RENORMALIZED,0.9542,,0.1952,0.6832,0.6832,0.0
sci_0256,PARTIAL_RENORMALIZED,0.4838,,0.422,0.4617,0.4617,0.0
sci_0257,PARTIAL_RENORMALIZED,0.3041,,0.0839,0.2255,0.2255,0.0
sci_0258,PARTIAL_RENORMALIZED,0.9142,,0.0429,0.6031,0.6031,0.0
sci_0259,PARTIAL_RENORMALIZED,0.5007,,0.1865,0.3885,0.3885,0.0
sci_0260,PARTIAL_RENORMALIZED,1.0,,0.0388,0.6568,0.6568,0.0
sci_0261,PARTIAL_RENORMALIZED,0.1819,,0.0922,0.1499,0.1499,0.0
sci_0262,PARTIAL_RENORMALIZED,0.3366,,0.1307,0.2631,0.2631,0.0
sci_0263,PARTIAL_RENORMALIZED,0.5003,,0.3493,0.4464,0.4464,0.0
sci_0264,PARTIAL_RENORMALIZED,1.0,,0.4415,0.8006,0.8006,0.0
sci_0265,PARTIAL_RENORMALIZED,0.2676,,0.0533,0.1911,0.1911,0.0
sci_0266,PARTIAL_RENORMALIZED,0.0991,,0.0168,0.0697,0.0697,0.0
sci_0267,PARTIAL_RENORMALIZED,0.7385,,0.0596,0.4961,0.4961,0.0
sci_0268,PARTIAL_RENORMALIZED,1.0,,0.0876,0.6742,0.6742,0.0
sci_0269,PARTIAL_RENORMALIZED,0.3663,,0.0697,0.2604,0.2604,0.0
sci_0270,PARTIAL_RENORMALIZED,0.5112,,0.1848,0.3946,0.3946,0.0
sci_0271,PARTIAL_RENORMALIZED,0.0,,0.2525,0.0902,0.0902,0.0
sci_0272,PARTIAL_RENORMALIZED,1.0,,0.0786,0.671,0.671,0.0
sci_0273,PARTIAL_RENORMALIZED,0.2453,,0.0519,0.1762,0.1762,0.0
sci_0274,PARTIAL_RENORMALIZED,0.25,,0.141,0.2111,0.2111,0.0
sci_0275,PARTIAL_RENORMALIZED,0.4601,,0.302,0.4036,0.4036,0.0
sci_0276,PARTIAL_RENORMALIZED,0.7971,,0.2776,0.6116,0.6116,0.0
sci_0277,PARTIAL_RENORMALIZED,0.2819,,0.057,0.2016,0.2016,0.0
sci_0278,PARTIAL_RENORMALIZED,0.5,,0.084,0.3514,0.3514,0.0
sci_0279,PARTIAL_RENORMALIZED,0.4999,,0.1616,0.3791,0.3791,0.0
sci_0280,PARTIAL_RENORMALIZED,1.0,,0.4742,0.8122,0.8122,0.0
sci_0281,PARTIAL_RENORMALIZED,0.3321,,0.0402,0.2279,0.2279,0.0
sci_0282,PARTIAL_RENORMALIZED,0.5,,0.0037,0.3228,0.3228,0.0
sci_0283,PARTIAL_RENORMALIZED,0.5774,,0.1856,0.4375,0.4375,0.0
sci_0284,PARTIAL_RENORMALIZED,1.0,,0.086,0.6736,0.6736,0.0
sci_0285,PARTIAL_RENORMALIZED,0.1946,,0.0698,0.15,0.15,0.0
sci_0286,PARTIAL_RENORMALIZED,0.5,,0.0038,0.3228,0.3228,0.0
sci_0287,PARTIAL_RENORMALIZED,0.4999,,0.3093,0.4318,0.4318,0.0
sci_0288,PARTIAL_RENORMALIZED,1.0,,0.0874,0.6741,0.6741,0.0
sci_0289,PARTIAL_RENORMALIZED,0.4495,,0.0539,0.3082,0.3082,0.0
sci_0290,PARTIAL_RENORMALIZED,0.5,,0.0486,0.3388,0.3388,0.0
sci_0291,PARTIAL_RENORMALIZED,0.0395,,0.0412,0.0401,0.0401,0.0
sci_0292,PARTIAL_RENORMALIZED,0.0,,0.2149,0.0767,0.0767,0.0
sci_0293,PARTIAL_RENORMALIZED,0.2407,,0.0561,0.1748,0.1748,0.0
sci_0294,PARTIAL_RENORMALIZED,0.0744,,0.0022,0.0486,0.0486,0.0
sci_0295,PARTIAL_RENORMALIZED,0.7338,,0.3159,0.5846,0.5846,0.0
sci_0296,PARTIAL_RENORMALIZED,1.0,,0.1734,0.7048,0.7048,0.0
sci_0297,PARTIAL_RENORMALIZED,0.1117,,0.0636,0.0945,0.0945,0.0
sci_0298,PARTIAL_RENORMALIZED,0.5,,0.0067,0.3238,0.3238,0.0
sci_0299,PARTIAL_RENORMALIZED,0.4954,,0.3405,0.4401,0.4401,0.0
sci_0300,PARTIAL_RENORMALIZED,0.0,,0.3009,0.1075,0.1075,0.0
com_0301,PARTIAL_RENORMALIZED,1.0,,0.0906,0.6753,0.6753,0.0
com_0302,PARTIAL_RENORMALIZED,0.0,,,0.0,0.0,0.0
com_0303,PARTIAL_RENORMALIZED,0.0,,0.0999,0.0357,0.0357,0.0
com_0304,PARTIAL_RENORMALIZED,0.0,,0.2053,0.0733,0.0733,0.0
