sample_id,domain,ground_truth,p1_available,p2_available,p3_available,fusion_mode,p1_score,p2_score,p3_score,predicted_h_score
gen_0023,General Knowledge,0,True,False,True,PARTIAL_RENORMALIZED,0.005,,0.1048,0.0406
gen_0024,General Knowledge,1,True,False,True,PARTIAL_RENORMALIZED,0.0046,,0.3573,0.1305
gen_0025,General Knowledge,0,True,False,True,PARTIAL_RENORMALIZED,0.0024,,0.0001,0.0016
gen_0026,General Knowledge,1,True,False,True,PARTIAL_RENORMALIZED,0.0339,,0.0466,0.0384
gen_0027,General Knowledge,0,True,False,True,PARTIAL_RENORMALIZED,0.1403,,0.0923,0.1232
gen_0028,General Knowledge,1,True,False,True,PARTIAL_RENORMALIZED,0.7464,,0.4691,0.6474
gen_0029,General Knowledge,0,True,False,True,PARTIAL_RENORMALIZED,0.0024,,0.0051,0.0034
gen_0030,General Knowledge,1,True,False,True,PARTIAL_RENORMALIZED,0.05,,0.0216,0.0399
gen_0031,General Knowledge,0,True,False,True,PARTIAL_RENORMALIZED,0.1577,,0.06,0.1228
gen_0032,General Knowledge,1,True,False,True,PARTIAL_RENORMALIZED,1.0,,0.3601,0.7715
gen_0033,General Knowledge,0,True,False,True,PARTIAL_RENORMALIZED,0.0024,,0.0001,0.0016
gen_0034,General Knowledge,1,True,False,True,PARTIAL_RENORMALIZED,0.05,,0.0295,0.0427
gen_0035,General Knowledge,0,True,False,True,PARTIAL_RENORMALIZED,0.2038,,0.069,0.1557
gen_0036,General Knowledge,1,True,False,True,PARTIAL_RENORMALIZED,1.0,,0.3733,0.7762
gen_0037,General Knowledge,0,True,False,True,PARTIAL_RENORMALIZED,0.0024,,0.0001,0.0016
gen_0038,General Knowledge,1,True,False,True,PARTIAL_RENORMALIZED,0.05,,0.0002,0.0322
gen_0039,General Knowledge,0,True,False,True,PARTIAL_RENORMALIZED,0.5606,,0.0278,0.3703
gen_0040,General Knowledge,1,True,False,True,PARTIAL_RENORMALIZED,0.7019,,0.4707,0.6193
gen_0041,General Knowledge,0,True,False,True,PARTIAL_RENORMALIZED,0.0024,,0.0051,0.0034
gen_0042,General Knowledge,1,True,False,True,PARTIAL_RENORMALIZED,0.05,,0.0353,0.0448
gen_0043,General Knowledge,0,True,False,True,PARTIAL_RENORMALIZED,0.5113,,0.0537,0.3479
gen_0044,General Knowledge,1,True,False,True,PARTIAL_RENORMALIZED,0.6596,,0.3273,0.5409
gen_0045,General Knowledge,0,True,False,True,PARTIAL_RENORMALIZED,0.0027,,0.0151,0.0071
gen_0046,General Knowledge,1,True,False,True,PARTIAL_RENORMALIZED,0.1,,0.0751,0.0911
gen_0047,General Knowledge,0,True,False,True,PARTIAL_RENORMALIZED,0.1056,,0.0845,0.0981
gen_0048,General Knowledge,1,True,False,True,PARTIAL_RENORMALIZED,1.0,,0.2239,0.7229
gen_0049,General Knowledge,0,True,False,True,PARTIAL_RENORMALIZED,0.0024,,0.0001,0.0016
gen_0050,General Knowledge,1,True,False,True,PARTIAL_RENORMALIZED,0.05,,0.0402,0.0465
med_0051,Medicine,0,True,False,True,PARTIAL_RENORMALIZED,0.379,,0.0718,0.2693
med_0052,Medicine,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.098,0.035
med_0053,Medicine,0,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0858,0.0306
med_0054,Medicine,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.1682,0.0601
med_0055,Medicine,0,True,False,True,PARTIAL_RENORMALIZED,0.4961,,0.0729,0.345
med_0056,Medicine,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.1337,0.0477
med_0057,Medicine,0,True,False,True,PARTIAL_RENORMALIZED,0.4045,,0.1235,0.3042
med_0058,Medicine,1,True,False,True,PARTIAL_RENORMALIZED,1.0,,0.0568,0.6632
med_0059,Medicine,0,True,False,True,PARTIAL_RENORMALIZED,0.5002,,0.1115,0.3614
med_0060,Medicine,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.1085,0.0387
med_0061,Medicine,0,True,False,True,PARTIAL_RENORMALIZED,0.4121,,0.1438,0.3163
med_0062,Medicine,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0541,0.0193
med_0063,Medicine,0,True,False,True,PARTIAL_RENORMALIZED,0.4678,,0.1977,0.3713
med_0064,Medicine,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0889,0.0317
med_0065,Medicine,0,True,False,True,PARTIAL_RENORMALIZED,0.3492,,0.1303,0.271
med_0066,Medicine,1,True,False,True,PARTIAL_RENORMALIZED,1.0,,0.1928,0.7117
med_0067,Medicine,0,True,False,True,PARTIAL_RENORMALIZED,0.5002,,0.0696,0.3464
med_0068,Medicine,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0951,0.034
med_0069,Medicine,0,True,False,True,PARTIAL_RENORMALIZED,0.0433,,0.0704,0.053
med_0070,Medicine,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.1625,0.058
med_0071,Medicine,0,True,False,True,PARTIAL_RENORMALIZED,0.6807,,0.3453,0.5609
med_0072,Medicine,1,True,False,True,PARTIAL_RENORMALIZED,0.4998,,0.226,0.402
med_0073,Medicine,0,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0974,0.0348
med_0074,Medicine,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.049,0.0175
med_0075,Medicine,0,True,False,True,PARTIAL_RENORMALIZED,0.4701,,0.0844,0.3324
med_0076,Medicine,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0967,0.0345
med_0077,Medicine,0,True,False,True,PARTIAL_RENORMALIZED,0.4026,,0.072,0.2845
med_0078,Medicine,1,True,False,True,PARTIAL_RENORMALIZED,1.0,,0.0276,0.6528
med_0079,Medicine,0,True,False,True,PARTIAL_RENORMALIZED,0.5003,,0.1268,0.3669
med_0080,Medicine,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0853,0.0305
med_0081,Medicine,0,True,False,True,PARTIAL_RENORMALIZED,0.4997,,0.0931,0.3545
med_0082,Medicine,1,True,False,True,PARTIAL_RENORMALIZED,1.0,,0.0678,0.6671
med_0083,Medicine,0,True,False,True,PARTIAL_RENORMALIZED,0.5516,,0.0992,0.39
med_0084,Medicine,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0778,0.0278
med_0085,Medicine,0,True,False,True,PARTIAL_RENORMALIZED,0.5033,,0.1036,0.3606
med_0086,Medicine,1,True,False,True,PARTIAL_RENORMALIZED,1.0,,0.0459,0.6593
med_0087,Medicine,0,True,False,True,PARTIAL_RENORMALIZED,0.3745,,0.1057,0.2785
med_0088,Medicine,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.1145,0.0409
med_0089,Medicine,0,True,False,True,PARTIAL_RENORMALIZED,0.5003,,0.1674,0.3814
med_0090,Medicine,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.1417,0.0506
med_0091,Medicine,0,True,False,True,PARTIAL_RENORMALIZED,0.1603,,0.1329,0.1505
med_0092,Medicine,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.3165,0.113
med_0093,Medicine,0,True,False,True,PARTIAL_RENORMALIZED,0.4998,,0.1239,0.3656
med_0094,Medicine,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.3136,0.112
med_0095,Medicine,0,True,False,True,PARTIAL_RENORMALIZED,0.295,,0.1442,0.2411
med_0096,Medicine,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0864,0.0309
med_0097,Medicine,0,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.1126,0.0402
med_0098,Medicine,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0404,0.0144
med_0099,Medicine,0,True,False,True,PARTIAL_RENORMALIZED,0.4986,,0.105,0.358
med_0100,Medicine,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.1128,0.0403
law_0101,Law,0,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0904,0.0323
law_0102,Law,1,True,False,True,PARTIAL_RENORMALIZED,0.5005,,0.1609,0.3792
law_0103,Law,0,True,False,True,PARTIAL_RENORMALIZED,0.337,,0.0701,0.2417
law_0104,Law,1,True,False,True,PARTIAL_RENORMALIZED,0.6633,,0.2709,0.5232
law_0105,Law,0,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.1035,0.037
law_0106,Law,1,True,False,True,PARTIAL_RENORMALIZED,0.5005,,0.2091,0.3964
law_0107,Law,0,True,False,True,PARTIAL_RENORMALIZED,0.4991,,0.1822,0.3859
law_0108,Law,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0556,0.0199
law_0109,Law,0,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.212,0.0757
law_0110,Law,1,True,False,True,PARTIAL_RENORMALIZED,0.4996,,0.2789,0.4208
law_0111,Law,0,True,False,True,PARTIAL_RENORMALIZED,0.4416,,0.0781,0.3118
law_0112,Law,1,True,False,True,PARTIAL_RENORMALIZED,0.5372,,0.1987,0.4163
law_0113,Law,0,True,False,True,PARTIAL_RENORMALIZED,0.3966,,0.1945,0.3244
law_0114,Law,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.1741,0.0622
law_0115,Law,0,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.1028,0.0367
law_0116,Law,1,True,False,True,PARTIAL_RENORMALIZED,0.3113,,0.1469,0.2526
law_0117,Law,0,True,False,True,PARTIAL_RENORMALIZED,0.7916,,0.1094,0.548
law_0118,Law,1,True,False,True,PARTIAL_RENORMALIZED,0.5009,,0.3759,0.4563
law_0119,Law,0,True,False,True,PARTIAL_RENORMALIZED,0.5001,,0.0723,0.3473
law_0120,Law,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0663,0.0237
law_0121,Law,0,True,False,True,PARTIAL_RENORMALIZED,0.45,,0.1042,0.3265
law_0122,Law,1,True,False,True,PARTIAL_RENORMALIZED,0.4996,,0.2528,0.4115
law_0123,Law,0,True,False,True,PARTIAL_RENORMALIZED,0.4429,,0.0661,0.3083
law_0124,Law,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0607,0.0217
law_0125,Law,0,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.1015,0.0362
law_0126,Law,1,True,False,True,PARTIAL_RENORMALIZED,0.5014,,0.2875,0.425
law_0127,Law,0,True,False,True,PARTIAL_RENORMALIZED,0.3518,,0.187,0.2929
law_0128,Law,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0453,0.0162
law_0129,Law,0,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0683,0.0244
law_0130,Law,1,True,False,True,PARTIAL_RENORMALIZED,0.4997,,0.242,0.4077
law_0131,Law,0,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0954,0.0341
law_0132,Law,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.152,0.0543
law_0133,Law,0,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.3029,0.1082
law_0134,Law,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.2572,0.0918
law_0135,Law,0,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0873,0.0312
law_0136,Law,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0393,0.014
law_0137,Law,0,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.1746,0.0623
law_0138,Law,1,True,False,True,PARTIAL_RENORMALIZED,0.349,,0.2425,0.311
law_0139,Law,0,True,False,True,PARTIAL_RENORMALIZED,0.3762,,0.0678,0.2661
law_0140,Law,1,True,False,True,PARTIAL_RENORMALIZED,0.1519,,0.158,0.1541
law_0141,Law,0,True,False,True,PARTIAL_RENORMALIZED,0.7496,,0.1021,0.5184
law_0142,Law,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.4444,0.1587
law_0143,Law,0,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0637,0.0227
law_0144,Law,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0586,0.0209
law_0145,Law,0,True,False,True,PARTIAL_RENORMALIZED,0.3896,,0.0757,0.2775
law_0146,Law,1,True,False,True,PARTIAL_RENORMALIZED,0.3521,,0.1812,0.2911
law_0147,Law,0,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.1878,0.0671
law_0148,Law,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.2639,0.0942
law_0149,Law,0,True,False,True,PARTIAL_RENORMALIZED,0.4587,,0.1771,0.3581
law_0150,Law,1,True,False,True,PARTIAL_RENORMALIZED,0.4908,,0.2099,0.3905
fin_0151,Finance,0,True,False,True,PARTIAL_RENORMALIZED,0.4943,,0.0587,0.3387
fin_0152,Finance,1,True,False,True,PARTIAL_RENORMALIZED,0.4993,,0.1007,0.357
fin_0153,Finance,0,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0834,0.0298
fin_0154,Finance,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.1749,0.0625
fin_0155,Finance,0,True,False,True,PARTIAL_RENORMALIZED,0.4967,,0.0515,0.3377
fin_0156,Finance,1,True,False,True,PARTIAL_RENORMALIZED,0.4988,,0.0692,0.3454
fin_0157,Finance,0,True,False,False,PARTIAL_RENORMALIZED,0.4834,,,0.4834
fin_0158,Finance,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.1093,0.039
fin_0159,Finance,0,True,False,True,PARTIAL_RENORMALIZED,0.4973,,0.1656,0.3788
fin_0160,Finance,1,True,False,True,PARTIAL_RENORMALIZED,0.4187,,0.3136,0.3812
fin_0161,Finance,0,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0833,0.0297
fin_0162,Finance,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.1168,0.0417
fin_0163,Finance,0,True,False,True,PARTIAL_RENORMALIZED,0.3714,,0.0858,0.2694
fin_0164,Finance,1,True,False,True,PARTIAL_RENORMALIZED,0.5559,,0.4391,0.5142
fin_0165,Finance,0,True,False,False,PARTIAL_RENORMALIZED,0.0,,,0.0
fin_0166,Finance,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.1303,0.0465
fin_0167,Finance,0,True,False,True,PARTIAL_RENORMALIZED,0.4583,,0.1721,0.3561
fin_0168,Finance,1,True,False,True,PARTIAL_RENORMALIZED,0.4998,,0.063,0.3438
fin_0169,Finance,0,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0828,0.0296
fin_0170,Finance,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.1224,0.0437
fin_0171,Finance,0,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0791,0.0282
fin_0172,Finance,1,True,False,True,PARTIAL_RENORMALIZED,0.4997,,0.1021,0.3577
fin_0173,Finance,0,True,False,False,PARTIAL_RENORMALIZED,0.4744,,,0.4744
fin_0174,Finance,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0994,0.0355
fin_0175,Finance,0,True,False,True,PARTIAL_RENORMALIZED,0.4418,,0.0788,0.3122
fin_0176,Finance,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.3004,0.1073
fin_0177,Finance,0,True,False,False,PARTIAL_RENORMALIZED,0.0,,,0.0
fin_0178,Finance,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.1087,0.0388
fin_0179,Finance,0,True,False,True,PARTIAL_RENORMALIZED,0.3306,,0.0819,0.2418
fin_0180,Finance,1,True,False,True,PARTIAL_RENORMALIZED,0.4998,,0.3092,0.4317
fin_0181,Finance,0,True,False,False,PARTIAL_RENORMALIZED,0.4606,,,0.4606
fin_0182,Finance,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0736,0.0263
fin_0183,Finance,0,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0753,0.0269
fin_0184,Finance,1,True,False,True,PARTIAL_RENORMALIZED,0.5,,0.0715,0.347
fin_0185,Finance,0,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.042,0.015
fin_0186,Finance,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0999,0.0357
fin_0187,Finance,0,True,False,True,PARTIAL_RENORMALIZED,0.4957,,0.0682,0.343
fin_0188,Finance,1,True,False,True,PARTIAL_RENORMALIZED,0.4971,,0.0923,0.3525
fin_0189,Finance,0,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0683,0.0244
fin_0190,Finance,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.1344,0.048
fin_0191,Finance,0,True,False,True,PARTIAL_RENORMALIZED,0.3356,,0.154,0.2708
fin_0192,Finance,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.1098,0.0392
fin_0193,Finance,0,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0509,0.0182
fin_0194,Finance,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0946,0.0338
fin_0195,Finance,0,True,False,True,PARTIAL_RENORMALIZED,0.4897,,0.1028,0.3515
fin_0196,Finance,1,True,False,True,PARTIAL_RENORMALIZED,0.4664,,0.0532,0.3188
fin_0197,Finance,0,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0592,0.0211
fin_0198,Finance,1,True,False,True,PARTIAL_RENORMALIZED,0.4058,,0.1148,0.3019
fin_0199,Finance,0,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.0282,0.0101
fin_0200,Finance,1,True,False,True,PARTIAL_RENORMALIZED,0.4989,,0.0873,0.3519
his_0201,History,0,True,False,True,PARTIAL_RENORMALIZED,0.1333,,0.0003,0.0858
his_0202,History,1,True,False,True,PARTIAL_RENORMALIZED,0.5018,,0.6486,0.5542
his_0203,History,0,True,False,True,PARTIAL_RENORMALIZED,0.9996,,0.2127,0.7186
his_0204,History,1,True,False,True,PARTIAL_RENORMALIZED,0.006,,0.0498,0.0216
his_0205,History,0,True,False,True,PARTIAL_RENORMALIZED,0.0147,,0.411,0.1562
his_0206,History,1,True,False,True,PARTIAL_RENORMALIZED,0.338,,0.2489,0.3062
his_0207,History,0,True,False,True,PARTIAL_RENORMALIZED,0.9985,,0.3937,0.7825
his_0208,History,1,True,False,True,PARTIAL_RENORMALIZED,0.9,,0.0363,0.5916
his_0209,History,0,True,False,True,PARTIAL_RENORMALIZED,0.1594,,0.4561,0.2654
his_0210,History,1,True,False,True,PARTIAL_RENORMALIZED,0.5032,,0.6069,0.5402
his_0211,History,0,True,False,True,PARTIAL_RENORMALIZED,0.891,,0.3164,0.6858
his_0212,History,1,True,False,True,PARTIAL_RENORMALIZED,0.0036,,0.0806,0.0311
his_0213,History,0,True,False,True,PARTIAL_RENORMALIZED,0.1333,,0.0474,0.1026
his_0214,History,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.5903,0.2108
his_0215,History,0,True,False,True,PARTIAL_RENORMALIZED,0.9457,,0.1979,0.6787
his_0216,History,1,True,False,True,PARTIAL_RENORMALIZED,0.0148,,0.0652,0.0328
his_0217,History,0,True,False,True,PARTIAL_RENORMALIZED,0.1333,,0.0003,0.0858
his_0218,History,1,True,False,True,PARTIAL_RENORMALIZED,0.3378,,0.1091,0.2561
his_0219,History,0,True,False,True,PARTIAL_RENORMALIZED,0.1125,,0.4355,0.2278
his_0220,History,1,True,False,True,PARTIAL_RENORMALIZED,0.9,,0.0562,0.5987
his_0221,History,0,True,False,True,PARTIAL_RENORMALIZED,0.1333,,0.0003,0.0858
his_0222,History,1,True,False,True,PARTIAL_RENORMALIZED,0.1611,,0.1059,0.1414
his_0223,History,0,True,False,True,PARTIAL_RENORMALIZED,0.999,,0.504,0.8222
his_0224,History,1,True,False,True,PARTIAL_RENORMALIZED,0.5155,,0.0889,0.3632
his_0225,History,0,True,False,True,PARTIAL_RENORMALIZED,0.303,,0.084,0.2248
his_0226,History,1,True,False,True,PARTIAL_RENORMALIZED,0.175,,0.2542,0.2033
his_0227,History,0,True,False,True,PARTIAL_RENORMALIZED,0.0917,,0.2817,0.1595
his_0228,History,1,True,False,True,PARTIAL_RENORMALIZED,0.006,,0.036,0.0167
his_0229,History,0,True,False,True,PARTIAL_RENORMALIZED,0.1125,,0.0179,0.0787
his_0230,History,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.112,0.04
his_0231,History,0,True,False,True,PARTIAL_RENORMALIZED,0.5,,0.4139,0.4693
his_0232,History,1,True,False,True,PARTIAL_RENORMALIZED,0.0058,,0.0656,0.0272
his_0233,History,0,True,False,True,PARTIAL_RENORMALIZED,0.1333,,0.0564,0.1058
his_0234,History,1,True,False,True,PARTIAL_RENORMALIZED,0.3091,,0.2061,0.2723
his_0235,History,0,True,False,True,PARTIAL_RENORMALIZED,0.05,,0.0809,0.061
his_0236,History,1,True,False,True,PARTIAL_RENORMALIZED,0.006,,0.0336,0.0159
his_0237,History,0,True,False,True,PARTIAL_RENORMALIZED,0.9916,,0.1928,0.7063
his_0238,History,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.603,0.2153
his_0239,History,0,True,False,True,PARTIAL_RENORMALIZED,0.1333,,0.0767,0.1131
his_0240,History,1,True,False,True,PARTIAL_RENORMALIZED,0.9,,0.0511,0.5969
his_0241,History,0,True,False,True,PARTIAL_RENORMALIZED,0.0759,,0.4122,0.196
his_0242,History,1,True,False,True,PARTIAL_RENORMALIZED,0.1027,,0.8325,0.3633
his_0243,History,0,True,False,True,PARTIAL_RENORMALIZED,0.1125,,0.0694,0.0971
his_0244,History,1,True,False,True,PARTIAL_RENORMALIZED,0.3354,,0.0878,0.247
his_0245,History,0,True,False,True,PARTIAL_RENORMALIZED,0.0813,,0.1329,0.0997
his_0246,History,1,True,False,True,PARTIAL_RENORMALIZED,0.5442,,0.2888,0.453
his_0247,History,0,True,False,True,PARTIAL_RENORMALIZED,0.7498,,0.0802,0.5107
his_0248,History,1,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.066,0.0236
his_0249,History,0,True,False,True,PARTIAL_RENORMALIZED,0.9994,,0.0834,0.6723
his_0250,History,1,True,False,True,PARTIAL_RENORMALIZED,0.5775,,0.2141,0.4477
sci_0251,Science,0,True,False,True,PARTIAL_RENORMALIZED,0.8339,,0.3243,0.6519
sci_0252,Science,1,True,False,True,PARTIAL_RENORMALIZED,1.0,,0.1795,0.707
sci_0253,Science,0,True,False,True,PARTIAL_RENORMALIZED,0.1242,,0.0697,0.1047
sci_0254,Science,1,True,False,True,PARTIAL_RENORMALIZED,0.5,,0.0389,0.3353
sci_0255,Science,0,True,False,True,PARTIAL_RENORMALIZED,0.9542,,0.1952,0.6832
sci_0256,Science,1,True,False,True,PARTIAL_RENORMALIZED,0.4838,,0.422,0.4617
sci_0257,Science,0,True,False,True,PARTIAL_RENORMALIZED,0.3041,,0.0839,0.2255
sci_0258,Science,1,True,False,True,PARTIAL_RENORMALIZED,0.9142,,0.0429,0.6031
sci_0259,Science,0,True,False,True,PARTIAL_RENORMALIZED,0.5007,,0.1865,0.3885
sci_0260,Science,1,True,False,True,PARTIAL_RENORMALIZED,1.0,,0.0388,0.6568
sci_0261,Science,0,True,False,True,PARTIAL_RENORMALIZED,0.1819,,0.0922,0.1499
sci_0262,Science,1,True,False,True,PARTIAL_RENORMALIZED,0.3366,,0.1307,0.2631
sci_0263,Science,0,True,False,True,PARTIAL_RENORMALIZED,0.5003,,0.3493,0.4464
sci_0264,Science,1,True,False,True,PARTIAL_RENORMALIZED,1.0,,0.4415,0.8006
sci_0265,Science,0,True,False,True,PARTIAL_RENORMALIZED,0.2676,,0.0533,0.1911
sci_0266,Science,1,True,False,True,PARTIAL_RENORMALIZED,0.0991,,0.0168,0.0697
sci_0267,Science,0,True,False,True,PARTIAL_RENORMALIZED,0.7385,,0.0596,0.4961
sci_0268,Science,1,True,False,True,PARTIAL_RENORMALIZED,1.0,,0.0876,0.6742
sci_0269,Science,0,True,False,True,PARTIAL_RENORMALIZED,0.3663,,0.0697,0.2604
sci_0270,Science,1,True,False,True,PARTIAL_RENORMALIZED,0.5112,,0.1848,0.3946
sci_0271,Science,0,True,False,True,PARTIAL_RENORMALIZED,0.0,,0.2525,0.0902
sci_0272,Science,1,True,False,True,PARTIAL_RENORMALIZED,1.0,,0.0786,0.671
sci_0273,Science,0,True,False,True,PARTIAL_RENORMALIZED,0.2453,,0.0519,0.1762
sci_0274,Science,1,True,False,True,PARTIAL_RENORMALIZED,0.25,,0.141,0.2111
sci_0275,Science,0,True,False,True,PARTIAL_RENORMALIZED,0.4601,,0.302,0.4036
sci_0276,Science,1,True,False,True,PARTIAL_RENORMALIZED,0.7971,,0.2776,0.6116
sci_0277,Science,0,True,False,True,PARTIAL_RENORMALIZED,0.2819,,0.057,0.2016
sci_0278,Science,1,True,False,True,PARTIAL_RENORMALIZED,0.5,,0.084,0.3514
sci_0279,Science,0,True,False,True,PARTIAL_RENORMALIZED,0.4999,,0.1616,0.3791
sci_0280,Science,1,True,False,True,PARTIAL_RENORMALIZED,1.0,,0.4742,0.8122
sci_0281,Science,0,True,False,True,PARTIAL_RENORMALIZED,0.3321,,0.0402,0.2279
sci_0282,Science,1,True,False,True,PARTIAL_RENORMALIZED,0.5,,0.0037,0.3228
sci_0283,Science,0,True,False,True,PARTIAL_RENORMALIZED,0.5774,,0.1856,0.4375
sci_0284,Science,1,True,False,True,PARTIAL_RENORMALIZED,1.0,,0.086,0.6736
